p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.874056695734481	0.128	0.006	0	HSC MPP	AVP
6.171524363986569e-284	4.4968211436278915	0.161	0.013	2.317592544407876e-279	HSC MPP	CRHBP
0	3.5414102156485723	0.505	0.055	0	HSC MPP	RBPMS
0	3.486744676795401	0.486	0.05	0	HSC MPP	AJ009632.2
3.634687495872745e-192	3.4474311397571187	0.164	0.02	1.364934195325092e-187	HSC MPP	GPC5
1.7720026650682008e-215	3.375249873094701	0.175	0.02	6.654401608130614e-211	HSC MPP	TM4SF1
0	3.3431114063859146	0.524	0.089	0	HSC MPP	NKAIN2
2.1411933589249976e-167	3.2715864749361065	0.116	0.011	8.040823420771043e-163	HSC MPP	AC090015.1
8.401856399605102e-216	3.214619758304381	0.138	0.012	3.155149133743704e-211	HSC MPP	TTC29
3.148277077110991e-188	3.193887193021614	0.134	0.013	1.1822724907674905e-183	HSC MPP	MEG3
1.3116618525608184e-194	3.169053055404171	0.15	0.016	4.925683754921642e-190	HSC MPP	CACNB2
2.33015038380251e-216	3.1547367635149026	0.219	0.031	8.750413736293565e-212	HSC MPP	MAMDC2
5.790895631803788e-299	3.1097588139542944	0.238	0.027	2.1746550366112765e-294	HSC MPP	EHD2
2.3914813480904865e-163	3.063013943061713	0.138	0.016	8.980729906484204e-159	HSC MPP	DPYSL3
9.692422927761627e-191	3.059811508962708	0.201	0.03	3.639795582062324e-186	HSC MPP	AL590226.1
0	3.045586759394487	0.44	0.072	0	HSC MPP	NPR3
0	3.0341909840428762	0.503	0.089	0	HSC MPP	TFPI
4.4900251913577655e-108	3.031488728974352	0.11	0.015	1.6861391601105816e-103	HSC MPP	AC104088.1
0	2.9755975708208533	0.401	0.059	0	HSC MPP	CALN1
1.935218092815152e-236	2.973574244196807	0.207	0.025	7.26732450394874e-232	HSC MPP	CLIP3
1.3333755705111655e-135	2.972807223264046	0.13	0.017	5.00722527994058e-131	HSC MPP	AC004540.2
0	2.968273098856031	0.576	0.096	0	HSC MPP	CALCRL
0	2.9114264887187993	0.373	0.054	0	HSC MPP	CHRM3
0	2.8882637640936974	0.432	0.072	0	HSC MPP	ZNF521
4.415849375387769e-248	2.8687175957249993	0.304	0.052	1.658283915939369e-243	HSC MPP	AC007319.1
4.670915861960468e-118	2.866266365127067	0.137	0.022	1.7540690336420145e-113	HSC MPP	LINC02573
0	2.823988258051587	0.503	0.089	0	HSC MPP	ANGPT1
4.634910698886898e-84	2.8162143274395812	0.106	0.018	1.740548014752997e-79	HSC MPP	TXLNB
0	2.813638078910261	0.382	0.067	0	HSC MPP	MEIS1
0	2.8034505288326854	0.52	0.11	0	HSC MPP	GUCY1A1
4.890973418186889e-102	2.7966709960915894	0.112	0.017	1.8367072477317226e-97	HSC MPP	COL4A5
1.0590555659270227e-271	2.7849242280827236	0.204	0.021	3.977071366725748e-267	HSC MPP	PRDM16
3.530663478687379e-86	2.765545083403765	0.123	0.023	1.3258700561514714e-81	HSC MPP	ZNF462
3.283927183739739e-222	2.7573378317114954	0.315	0.061	1.2332131753097842e-217	HSC MPP	SDSL
3.198281682546975e-96	2.7418061427052516	0.141	0.027	1.2010507202468654e-91	HSC MPP	AC004540.1
1.1755071811183533e-131	2.7202434850810944	0.21	0.044	4.414382117253752e-127	HSC MPP	TRIM47
1.8692250997610346e-116	2.7170751796299166	0.134	0.021	7.019501017132613e-112	HSC MPP	PTPN14
5.96796716114001e-100	2.7108931531012472	0.198	0.049	2.241150708022908e-95	HSC MPP	HMGA2
2.894312283398477e-141	2.6973712676216675	0.228	0.048	1.0869010917846301e-136	HSC MPP	ITGA9
1.1982397650856381e-179	2.6849006710834695	0.213	0.035	4.499749789826097e-175	HSC MPP	NPM2
2.524950729021187e-134	2.677002925255833	0.238	0.054	9.481947472693265e-130	HSC MPP	MACC1
1.1613080658881712e-93	2.6671607311010908	0.101	0.015	4.361060179829849e-89	HSC MPP	NR5A1
5.765147478441258e-106	2.665278975708715	0.111	0.016	2.164985832579046e-101	HSC MPP	NPTX2
2.6414827903169737e-191	2.6549723457842784	0.275	0.053	9.91956032247733e-187	HSC MPP	SLC9A3R2
