HSC MPP	MEP	EoBasoMast Precursor	Megakaryocyte Precursor	Early Erythroid	Late Erythroid	LMPP	Cycling Progenitor	Early GMP	Late GMP	Pro-Monocyte	CD14 Mono	CD16 Mono	cDC	pDC	Early Lymphoid	Pro-B	Pre-B	Immature B	Mature B	Plasma Cell	CD4 Naive	CD4 Central Memory	CD4 Effector Memory	CD4 Regulatory	CD8 Naive	CD8 Central Memory	CD8 Effector Memory 1	CD8 Effector Memory 2	CD8 Tissue Resident Memory	T Proliferating	NK	NK CD56high	NK Proliferating	Stromal
AVP	ZNF385D	CLC	TMEM40	AC069281.1	IFIT1B	PRSS2	CCNB1	NPW	ELANE	IL31RA	AC116353.5	LYPD2	ENHO	COL26A1	FABP3	Z98949.2	VAT1L	NXPH4	LINC01857	IGHG1	ANKRD55	NEFL	NEFL	FOXP3	CD248	IFNG-AS1	CCL4L2	AC243829.2	AC010967.1	TIMD4	KIR2DL1	SPTSSB	APOBEC3B	CDH11
CRHBP	XACT	HDC	CMTM5	SMILR	HEPACAM2	AC016735.1	SMC1B	RAB7B	PRTN3	RETN	CYP27A1	LINC02345	CLEC10A	LINC01724	AL136234.1	AC004704.1	CFAP73	FCER2	ZNF860	IGHG4	ADTRP	IATPR	TTC39C-AS1	LINC02694	AL590006.1	CD8B	CRTAM	ZNF683	SLC4A10	TNFRSF9	KIR3DL1	CDHR1	PIMREG	IBSP
RBPMS	AMHR2	CDK15	PF4	KRT13	TSPO2	AC104088.1	UBE2C	AC104088.1	AZU1	PRLR	CLEC4E	AC104809.2	CD1E	LINC01478	AC023781.1	LINC00114	LINC00472	FCRL1	CXCR5	IGHA2	TSHZ2	CCR4	RORC	CCR8	REG4	NELL2	RGS1	GZMH	IL23R	LAG3	KIR2DL3	LDB2	LGALS9B	BMP5
AJ009632.2	PRKG2	PRG2	PPBP	FAM178B	HBM	TCTEX1D1	DSG2	IGFBP2	BEX1	SPOCK1	PLA2G7	PPP1R17	ZNF366	SCT	AC096570.1	LINC01507	MYO3A	COL19A1	COL19A1	SCNN1B	AC139720.1	PI16	CCR6	CTLA4	NRCAM	NSG1	CCL4	FGFBP2	LINC01644	C3orf14	MYOM2	XCL1	LGALS9C	FMO2
GPC5	CNRIP1	MS4A2	TREML1	PKLR	HBA2	KIAA0087	NPW	KRT8	CTSG	MCEMP1	CD14	VMO1	CD1C	LILRA4	AC096570.2	AL451048.1	ROR1	MS4A1	LINC00926	IGHGP	EDA	LINC00892	TNFRSF4	CCR4	LRRN3	GZMK	DUSP2	TRGV4	TRDV2	PDCD1	SPON2	KIR2DL4	GRIK4	ISLR
TM4SF1	RYR3	AC111000.4	TUBB1	NMU	AC024267.2	LINC02767	AADAT	C1QTNF4	MPO	S100A8	S100A12	AC020651.2	LRP1B	SLC12A3	DIPK1C	DUSP26	MEGF11	AL139020.1	STEAP1B	IGHA1	MDS2	CD40LG	IL7R	IL2RA	LINC02446	CD8A	TNIP3	TRGV2	AC108925.1	APOBEC3H	LINGO2	ZMAT4	KIR2DL1	CRH
NKAIN2	CKB	ENPP3	AP001189.1	UCA1	SLC4A1	LINC00470	SMTN	NEFH	PLPPR3	SERPINB10	FCAR	LINC02185	SEZ6L	KCNK10	TINAGL1	LRRC14B	BMP3	LINC01505	CR2	IGHG3	TCEA3	FBLN7	FBXL16	CCR10	S100B	ZNF683	LGR6	FCRL6	TRAV1-2	DRAIC	CXCR2	XCL2	RRM2	CXCL12
AC090015.1	GATA2	TPSAB1	AC090409.1	AC084864.2	ALAS2	AL590226.1	PLPP2	H19	COL23A1	SERPINB2	AQP9	CASP5	CRIP3	FAM160A1-DT	TMEM212-AS1	GPR176	RASAL1	LINC00926	MS4A1	IGKV1-6	MAL	KRT1	CD40LG	AC013652.1	CPA5	TPRG1	IFNG	TTC16	ADAM12	ZBTB32	FGFBP2	KLRC1	FAM111B	SNAI2
TTC29	AL157895.2	TPSB2	ITGB3	LINC01133	RUNDC3A	THSD7A	LY6K	CLDN10	S100P	LYZ	RBP7	C1QA	DTNA	CUX2	KIAA1217	DNTT	AC025437.4	KCNH8	BANK1	IGKV1D-39	LRRN3	AC139720.1	EDA	RTKN2	C20orf204	LINC00944	GZMK	TRGV9	RORC	TNIP3	SH2D1B	AC010186.4	TRDC	DCN
MEG3	HPGDS	CPA3	GP9	EPCAM	AC104561.3	LINC02573	H19	CRYGD	RNASE3	AC020656.1	G0S2	C1QB	MRC1	CLEC4C	RORB	SH2D4B	CECR2	CLEC17A	AP002075.1	IGHV3-69-1	TRABD2A	FBXL16	DPP4	FANK1	NELL2	NR3C2	TRGV2	LINC00944	ME1	CADM1	LGALS9B	AC068775.1	TK1	RND3
CACNB2	SPTBN2	TPSD1	SPX	AL031123.4	HBB	C1QTNF4	MYCN	RAC3	ANKRD18A	FOLR3	LINC00937	LINC02432	UPK3A	AC023590.1	LINC02842	HMHB1	ACSM1	HRK	FCER2	IGHG2	AC005842.1	TTC39C-AS1	PI16	IATPR	SNTG2	DUSP2	CD8A	TRGV3	LTK	CCR5	PRSS23	PPP1R9A	KIR2DL3	RSPO1
MAMDC2	PIEZO2	SLC24A3	GP1BA	KCNH2	HBA1	SPINK2	CDC20	PRSS57	CEBPE	BPI	STEAP4	KNDC1	SIGLEC6	RGS7	AC008060.1	LINC01013	ACSM3	ANGPTL1	TNFRSF13C	IGLV2-8	CCR7	AC005842.1	WDR86-AS1	F5	EPHA1	AC006369.1	CD160	S1PR5	KLRB1	IFNG	GZMB	KLRC2	SPC25	ZFHX4
