gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ISYNA1	    487.65864940689596	 2.2380110091378173642	0.302552010383410	0.00000000000000775504145889769	0.000000000119117436808668
KLHDC8A	    103.60519503065466	-5.5975538530559774131	0.909406562976486	0.00000000000035532188308498828	0.000000001819248041395140
LGR4	     73.54559563053587	-3.7503347592727274140	0.547457415301477	0.00000000000024170178538526575	0.000000001819248041395140
MBOAT2	    851.97347183489637	-2.0705663068983817254	0.307574415953377	0.00000000000079267571350139166	0.000000003043874739845344
HBM	  12759.33323586612823	-6.6833265491202826780	1.528550865354680	0.00000000000253294986396183287	0.000000007781221982090751
ATP1B2	    211.31146976309498	-4.9814405947260178564	0.899900929993006	0.00000000000404184672338871388	0.000000010347127611875108
AQP1	    336.96829858424962	-4.8097723346033438574	0.852335020820771	0.00000000000541783441552221006	0.000000010402242077802644
CA2	   5413.97248287902676	-4.2634763621014890589	0.772372390162229	0.00000000000491712193505984129	0.000000010402242077802644
NKAIN2	    899.58889613965016	 2.0743356947458213568	0.325818036829980	0.00000000001014907228148353069	0.000000017321083360398560
OPTN	    893.06244779136284	-2.0051391274004415344	0.323615838822711	0.00000000002461153932848541798	0.000000034366658553230546
MAPK12	    169.45145193202353	 2.5945754060353070081	0.416310251802130	0.00000000002395912020367937682	0.000000034366658553230546
TSPO2	    462.61052949561389	-6.2347208735866095353	1.500070418442164	0.00000000006689182687435717398	0.000000057081025599451455
ACHE	    151.10003438763684	-3.9125464436544290514	0.707536053668082	0.00000000005584587645335989365	0.000000057081025599451455
NPM2	    119.98559810011658	 3.0033132863354907727	0.492655539976406	0.00000000004682351017793797184	0.000000057081025599451455
IFIT1B	    880.63678816564618	-5.7882649576371028033	1.505984581354116	0.00000000006230525966609876803	0.000000057081025599451455
C17orf99	    171.90570831220910	-3.6942278188576658238	0.665520484103868	0.00000000006409427620723718577	0.000000057081025599451455
CPXM1	    418.56086724537653	 2.1270521677078519929	0.350254589376660	0.00000000005308923318218271478	0.000000057081025599451455
ADA	    508.18380277749134	 2.1460374183680763771	0.352103450602279	0.00000000005462543007627950852	0.000000057081025599451455
PDZK1IP1	    748.77655245045469	-5.5196004176247468465	1.338851477854261	0.00000000007830694364921639867	0.000000063304981813261261
ART4	    170.80845789117387	-5.2280771769976963625	1.100290080601127	0.00000000009503615370310948989	0.000000072987766043988092
AC100835.2	     51.22351354108764	-3.8566333891558581826	0.674324924844380	0.00000000013417265781068367402	0.000000098137715427242916
HOPX	    947.76999321439985	 2.9163240933741176875	0.516175962076201	0.00000000014294587088485429630	0.000000099802208035970997
GYPA	    536.48522677761969	-5.3400794239285875875	1.321911987953754	0.00000000020132998883256194967	0.000000134453418629050078
EPN2	    125.42351466119442	-2.4434870431888540132	0.420090038033815	0.00000000021890982169434095419	0.000000140102285884378201
PHOSPHO1	    529.35002685860945	-4.9079592341353128759	1.091658286161126	0.00000000024950082628180137375	0.000000153293307667538748
SLC2A14	     46.03968568066804	-3.6520339239629313610	0.654620530980510	0.00000000048651207091640375278	0.000000287416361895229278
AC079804.3	    266.36456164178185	-4.6744537304638313913	1.027588874551870	0.00000000061743959518992164579	0.000000333866918944541264
HBZ	    197.26273819490100	-4.0986695280226737026	0.772795137735044	0.00000000059846633132829044384	0.000000333866918944541264
AC130456.3	    341.63757940927104	-4.8651647531652209011	1.119982945055882	0.00000000063034769852810519243	0.000000333866918944541264
ITSN1	    257.97286791665130	-2.8598924277587576270	0.530935687428873	0.00000000080528261433345920735	0.000000412304698538731114
DNAJA4	    512.04225983399749	-3.0362812992584862215	0.575918057732410	0.00000000086583081829416842301	0.000000425931116968769080
PHLPP2	    211.21988688070957	-2.0658977651569045975	0.368297055288606	0.00000000088735649368493556892	0.000000425931116968769080
TLCD4	    491.99336803462438	-4.8090343750366244535	1.146585006159503	0.00000000091827376682444888915	0.000000427414698740107090
AC147651.1	     35.39913355444033	-4.5810947043095264775	0.830568112909983	0.00000000098503898443150799474	0.000000445005847084351838
ALAS2	   7451.78466846317224	-5.1467321088279254226	1.481521194684114	0.00000000115286272257710560674	0.000000496734675883516185
SOX6	   1282.88626345078183	-3.5591130239680470737	0.738810715853361	0.00000000116422189660199097503	0.000000496734675883516185
EPB42	   1446.35405772500349	-4.8871263078919575662	1.365205440034095	0.00000000131733972405379888954	0.000000546874004363955491
CTSE	    194.01996409476760	-5.3422982659701565566	1.258989675947038	0.00000000148924717731771699093	0.000000601969385357898236
TMEM131L	    972.78615542156876	-1.7187428833778366499	0.309908249092453	0.00000000156439392877114538708	0.000000616130531946789625
TRIM10	    310.45829060766499	-4.9094005309641222112	1.252345543204676	0.00000000161072470129648633649	0.000000618518285297850700
KAT2B	    377.24274587063474	-2.0817257606551757831	0.381565300741806	0.00000000170402033240028467736	0.000000638384202577277384
LAPTM4B	    768.71613681290012	 2.0769007806598183130	0.379211041024470	0.00000000184345976899116449723	0.000000665045616947035214
SLC4A1	   4155.85747188431469	-5.3479958484246727934	1.535800524143807	0.00000000186178134952620539214	0.000000665045616947035214
KLC3	     72.38827333587876	-5.1917907659462079195	1.152827272692792	0.00000000219535282923642240647	0.000000766377714933441984
GCSAML	    131.27531231919991	 2.1466941887650454746	0.390039934469262	0.00000000235725415337877470308	0.000000804609417686621695
SELENBP1	   2075.60179485309345	-5.2302454651226684135	1.530411045092209	0.00000000261907749378602407159	0.000000874544137055507200
TTC25	     66.17617464949272	-3.0448569128711469034	0.579750827704436	0.00000000313848688337973605396	0.000001025684224015164781
USP32	   1079.83140015353592	-1.4671766022041410338	0.268426117099006	0.00000000358703733857561917201	0.000001147851948344198214
RHCE	    845.40797097536904	-3.8924798585015070174	0.903549709955492	0.00000000385905404555864795938	0.000001202938488165413694
ARG1	    329.96422262515762	-3.7446856358718356717	0.828974248635327	0.00000000391581539116345617384	0.000001202938488165413694
SLC18B1	    115.99090337169007	-2.1026214547860795356	0.393760939597048	0.00000000466464196889109782207	0.000001404880404748377697
RUNDC3A	    171.72502775454035	-4.4562529045369636549	1.054969836831449	0.00000000475696069456765086609	0.000001405133005164598279
CDKN1C	    324.58797944480386	 2.3519519507639428113	0.450124621944639	0.00000000486483100056308329787	0.000001409883097521678520
CA1	  30229.07253947200661	-4.5221157949131542964	1.238041509151516	0.00000000607801741374403070230	0.000001703283568874713311
LDHA	   1902.59918141946127	 1.4086845449629317173	0.261803234829547	0.00000000609899715417377847614	0.000001703283568874713311
PAQR9	    161.98400258232536	-4.7296803310253352493	1.148625195347601	0.00000000662224996554357481961	0.000001816388561977666176
CXCL3	    205.18008493354580	 3.1159181810908833654	0.610090918444821	0.00000000712022261579453242691	0.000001918712620677263386
AC090152.1	    134.38461189848323	 2.1520711114393087371	0.410406137876005	0.00000000923106043578896129332	0.000002363151471561974091
SMIM5	    423.09109032827547	-3.9951399643222105240	0.963191602275747	0.00000000915917177065458456687	0.000002363151471561974091
RAC3	    157.45740082149604	 2.3790458533801843721	0.462576422919016	0.00000000913209614779848231643	0.000002363151471561974091
MFAP2	     93.95061422485941	 3.4883842673365212939	0.665994733541529	0.00000000973761498262416193762	0.000002451963379231264369
LINC02772	    235.31168672624025	-4.8386582746465762739	1.336525459943254	0.00000001029772498667477610559	0.000002551178319279428594
TMEM63B	    192.24051860882449	-2.4925763863144947408	0.504473121691353	0.00000001331545381481225492047	0.000003246434453897082741
SNCA	   4360.01328619363358	-2.7615182562883031636	0.594383207427711	0.00000001836392417953250151999	0.000004407341803087800312
CD34	   1448.38020632183043	 2.6226952841433752717	0.554537847412983	0.00000001901016075475083933523	0.000004492247218353429502
SMIM24	    903.96728878913882	 2.4190991757502140480	0.500598321585140	0.00000002044298896181649551309	0.000004757641067477293732
RPL3L	     33.96239859894132	-5.1255540864917934485	1.155682496979714	0.00000002263975944930606146160	0.000005190249330467778064
NPDC1	    718.30264702663385	 3.4028127048377121433	0.793234763139658	0.00000002376539800452384335909	0.000005368184019845385744
SPP1	     78.74757806574252	 3.3531786220313293256	0.670426311911008	0.00000002770286917604293500604	0.000006166899573101731435
RHD	    721.06241804538911	-4.3293400352110937845	1.130334983543448	0.00000002902500199588882382652	0.000006368914723669318936
