"","orig.id","n_postfilter","n_prefilter","percent"
"1","P1013_MNC",3284,4108,0.799415774099318
"2","P1195_MNC",1164,1318,0.883156297420334
"3","P1285_MNC",1960,2586,0.757927300850735
"4","P1347_CD3",1399,1512,0.92526455026455
"5","P1347_MNC",23514,23642,0.994585906437696
"6","P1665_MIX",12773,14357,0.889670543985512
"7","P1671_MIX",10463,17615,0.593982401362475
"8","P1677_CD3",2503,2832,0.883827683615819
"9","P1677_MNC",1652,3406,0.485026423957722
"10","P1732_MNC",5200,5842,0.890106128038343
"11","P1745_MNC",9440,10428,0.905255082470272
"12","P1762_MIX",17072,17856,0.956093189964158
"13","P1764_MIX",14235,15177,0.937932397707057
"14","P1804_MNC",17534,18783,0.933503700154395
"15","P1811_CD3",7845,8082,0.970675575352635
"16","P1811_MNC",5139,6031,0.852097496269275
"17","P1817_MIX",14079,15235,0.924122087298983
"18","P1953_CD3",3848,3913,0.983388704318937
"19","P1953_MNC",672,715,0.93986013986014
"20","P1964_MNC",11018,13107,0.840619516289006
"21","P1972_CD3",6402,6652,0.96241731809982
"22","P1972_MNC",6464,6716,0.962477665276951
"23","P2220_MNC",14469,15114,0.957324335053593
"24","P2332_MNC",11364,13197,0.861104796544669
"25","P2379_CD3",9117,9377,0.972272581849206
"26","P2379_MNC",6803,7790,0.873299101412067
"27","P2408_MNC",6953,7788,0.892783769902414
"28","P2434_MNC",7036,7541,0.933032754276621
"29","P2446_MNC",7104,8097,0.877361985920711
"30","P2448_MNC",11273,13356,0.844040131775981
"31","P2517_MIX",3999,4874,0.820475995075913
"32","P2518_CD3",12770,13286,0.961162125545687
"33","P2518_MNC",8623,9378,0.919492429089358
"34","P25802_CD3",3169,3252,0.974477244772448
"35","P25802_MNC",16806,17122,0.981544212124752
"36","P25809_MNC",8256,8699,0.949074606276583
"37","P2599_CD3",6500,6732,0.965537730243613
"38","P2599_MNC",3629,4197,0.864665237074101
"39","P2621_CD3",5923,6121,0.967652344388172
"40","P2621_MNC",5423,5635,0.962377994676131
"41","P2645_MNC",5215,6247,0.834800704338082
"42","P2698_MIX",15653,18951,0.825972244208749
"43","P2737_CD3",2055,2249,0.913739439751
"44","P2737_MNC",9433,10183,0.926347834626338
"45","P2745_MNC",6915,7724,0.895261522527188
"46","P2791_MNC",8862,9310,0.95187969924812
"47","P2820_MIX",8792,10052,0.874651810584958
"48","P2961_MNC",10936,12662,0.863686621386827
"49","P2977_MIX",9962,11542,0.863108646681684
"50","P2986_MNC",10535,13812,0.762742542716478
"51","P2988_MNC",8555,9686,0.883233532934132
"52","P3000_MIX",8497,9639,0.881522979562195
"53","P4618_MNC",624,682,0.914956011730205
"54","P5641_MNC",2685,2751,0.976008724100327
"55","P6174_CD3",8115,8288,0.979126447876448
"56","P6174_MNC",1367,1439,0.949965253648367
"57","P6244_CD3",9890,10134,0.97592263666864
"58","P6244_MNC",8424,9230,0.912676056338028
"59","P9185_CD3",4226,4435,0.952874859075535
"60","P9185_MNC",6890,7316,0.941771459814106
"61","P9355_MNC",3925,4503,0.871641128136798
"62","P9596_CD3",5065,5393,0.939180419061747
"63","P9596_MNC",4600,7375,0.623728813559322
"64","P9931_CD3",1628,1768,0.920814479638009
"65","P9931_MNC",6965,8183,0.851154833190761
