p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.76173305588102,0.961,0.316,0,0,GZMH
0,1.1448818947492,0.367,0.087,0,0,SGCD
0,1.13115838435959,0.995,0.531,0,0,NKG7
0,1.05421969355218,0.995,0.596,0,0,CCL5
0,1.04334762383754,0.86,0.281,0,0,FGFBP2
0,1.00506810682279,0.608,0.244,0,0,CD8A
0,0.902001983178967,0.673,0.364,0,0,LGALS1
0,0.890950495506726,0.866,0.356,0,0,GNLY
0,0.826994706889455,0.247,0.049,0,0,AC243829.2
0,0.785341307465932,0.98,0.886,0,0,SH3BGRL3
0,0.78529945273967,0.977,0.836,0,0,S100A4
0,0.776610534114355,0.858,0.42,0,0,ZEB2
0,0.774022705964705,0.929,0.516,0,0,GZMA
0,0.750992197833679,0.983,0.85,0,0,CD52
0,0.747858918264501,0.732,0.4,0,0,C12orf75
0,0.744109526833169,0.465,0.189,0,0,CD8B
0,0.735434320104467,0.688,0.327,0,0,PLEK
0,0.730848849608771,0.744,0.313,0,0,C1orf21
0,0.720710572150415,0.919,0.513,0,0,CST7
0,0.688606492760765,0.796,0.56,0,0,THEMIS
0,0.670758867414519,0.665,0.361,0,0,HLA-DPB1
0,0.664479289682522,0.838,0.601,0,0,FLNA
0,0.650802697018566,0.835,0.466,0,0,EFHD2
0,0.633639223133096,0.898,0.695,0,0,CD3G
0,0.611401592865718,0.918,0.664,0,0,SYNE1
0,0.581339038835885,0.841,0.553,0,0,TGFBR3
0,0.5551801512682,0.928,0.734,0,0,CD3D
0,0.537652653035241,0.976,0.804,0,0,IL32
0,0.535765292554584,0.864,0.698,0,0,CD99
0,0.534935854213693,0.964,0.858,0,0,S100A6
0,0.532660615028059,0.813,0.595,0,0,ITGB1
0,0.521685077514121,0.944,0.822,0,0,HCST
0,0.51762021735153,0.662,0.391,0,0,PPP2R2B
0,0.517500230699854,0.564,0.337,0,0,APOBEC3G
