cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32
MAL,CD8A,G0S2,SH2D1B,IFIT1B,TRGV9,AQP1,DLK1,COL19A1,PADI4,CDKN1C,NCALD,ELANE,AC079804.3,SLC10A4,CR589904.2,KCNH2,BMP3,AC104088.1,ENHO,PIMREG,FOXC1,CPA3,IGHG1,CEP55,LINC01478,AC096570.2,AC009271.1,DUSP26,PHOSPHO1,CD5L,COL19A1,SNAI2
CCR7,CD8B,THBS1,KLRC1,KRT1,TRDC,AC024267.2,CALCRL,LINC00926,RETN,HES4,ANK3,AZU1,YPEL4,FAM178B,FN1,H1-5,CFAP73,CRYGD,CLEC10A,FAM111B,DLK1,SLC24A3,IGHGP,FAM111B,LILRA4,DIPK1C,IRX3,DNTT,HBB,CCL18,LIX1-AS1,BMP5
TRABD2A,LAG3,RBP7,KLRF1,DCAF12,GZMH,C17orf99,CD34,MS4A1,DYSF,AC064805.1,PPP2R2B,PRTN3,LINC02772,GPT,LINC02240,NME4,AC016168.2,LINC02573,CD1C,IGLL1,MDFI,ITGA2B,IGHG4,TK1,SCT,AC096570.1,PKHD1,AC007100.1,HBQ1,APOE,FCRL2,MXRA5
RCAN3,GZMH,CXCL8,NCR1,TRIM58,LAG3,AC127526.2,SPINK2,FCER2,S100A8,LINC02432,LINC01934,MPO,ARG1,LINC01151,LYPD8,SYNGR1,ACSM3,C1QTNF4,FCER1A,DNTT,AJ009632.2,ZNF385D,IGHA2,ASF1B,AC097375.1,TMEM212-AS1,AC106798.1,LINC01013,GMPR,C1QC,PAX5,FMO2
LTB,GZMK,S100A12,XCL1,ALAS2,FGFBP2,ACHE,FAM30A,BANK1,CTSD,MS4A7,PRKCH,CTSG,TMCC2,NMU,VSIG4,GATA1,DTX1,MPL,NAPSA,VPREB1,HPGDS,MPIG6B,IGHA1,RRM2,CLEC4C,KIAA1217,NR5A2,AKAP12,NUDT4,C1QB,BANK1,COL3A1
TCF7,CCL5,LGALS2,CLIC3,PHOSPHO1,PRSS23,ATP1B2,ARMH1,FCRL2,RBM47,SIGLEC10,KLF12,MS4A3,RGS6,EPCAM,HOXB6,TMEM14C,AL132996.1,DANT2,UPK3A,UHRF1,INHBA,AL157895.2,IGHG3,RAD51,CUX2,S100A16,FOXD4L1,ARPP21,TRIM58,SDC3,PLEKHG1,CDH11
IL7R,DUSP2,CLEC4E,GNLY,HBA2,FCRL6,RHD,ITM2C,HLA-DOB,S100A12,SMIM25,TGFBR3,RNASE3,TSPO2,AC084864.2,FAM20A,KLF1,ACSM1,SPINK2,HLA-DQA1,AKAP12,PRDM16,CAVIN2,SDC1,CLSPN,LRRC26,RORB,HOXB-AS3,SH2D4B,SLC25A39,VCAM1,PTPRK,ID4
TSHZ2,FCRL6,FCAR,SPON2,BPGM,GZMB,CR1L,NCF4,TNFRSF13C,RAB31,ZNF703,TNIK,SERPINB10,RIPOR3,KRT13,MSLN,TYMS,ROR1,ANGPT1,NDRG2,CFAP73,GPC6,RYR3,IGHG2,GINS2,RGS7,AC112482.3,RXFP1,RAG1,BNIP3L,TIMD4,EBF1,LBP
NELL2,KLRG1,FCN1,TRDC,HBB,CCL4,PAQR9,NRIP1,FCRL1,TMTC2,FMNL2,RORA,AL355922.1,SLFN14,SLC44A4,PGM5,HEBP1,KLHL14,PROM1,CST3,CD24,EHD2,XACT,IGKC,CENPM,AC023590.1,AC084816.1,HOXA11-AS,SLC8A1-AS1,DCAF12,C1QA,LINC00926,PDGFRA
LEF1,LINC01871,QPCT,IL2RB,HBA1,ADGRG1,RAB6B,FABP5,STEAP1B,S100A9,BATF3,TOX,PRLR,SOX6,KCNH2,MEIS2,PRKAR2B,PCDH9,LNCAROD,HLA-DQB1,MYLK,RBPMS,GATA2,IGLV3-1,TYMS,FAM160A1,LINC02642,THSD7A,MYLK,TMOD1,SELENOP,FCRL1,RSPO1
