cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
MAL,GZMH,TSHZ2,CCR7,GZMH,TNFRSF4,TRGV9,HLA-DRA,FCER1G,GZMK,MSI2,KIR2DL1,SPTSSB,NCAM1
ARMH1,CD8A,CCR7,MAL,CD8A,NPDC1,TRDC,HLA-DQB1,SH2D1B,IL7R,ANK3,MYOM2,PPP1R9A,ATP8B4
SOCS3,KLRG1,ACTN1,CD4,CD8B,CD82,GZMH,HLA-DRB5,IGFBP7,KLRB1,ZNF407,KIR3DL1,KIR2DL4,CTBP2
CCR7,CD8B,AC139720.1,RCAN3,LAG3,CAPG,ASCL2,GZMK,LAT2,LYAR,RUNX1,AKR1C3,GAB1,ZBTB16
LTB,CCL5,FHIT,TRABD2A,HLA-DRA,AQP3,LAG3,CD8B,TYROBP,ERN1,PRKCA,KIR2DL3,XCL1,PLCG2
SUSD3,LYAR,MAL,LTB,LINC02446,TIMP1,CX3CR1,LAG3,CCL3,DUSP2,CHST11,IGFBP7,ITGAX,LINC00299
RCAN3,FCRL6,TRABD2A,AQP3,MT1E,LTB,FGFBP2,HLA-DRB1,CHST2,AQP3,WWOX,CHST2,ATP8B4,LYN
MYC,DUSP2,SESN3,TCF7,HLA-DRB5,PPP1R14B,ADGRG1,CD8A,CXXC5,DUSP1,RAD51B,RASSF4,GSN,MCTP2
TRABD2A,HLA-DPB1,LEF1,GPR183,HLA-DRB1,COTL1,PRSS23,DUSP2,FCGR3A,PBXIP1,ARL15,LINGO2,KLRC1,NCALD
AQP3,C12orf75,PLCL1,LDLRAP1,HLA-DPA1,CORO1B,IKZF2,CD74,SPON2,SIT1,MGAT5,SH2D1B,NCAM1,FNDC3B
CD4,ZEB2,NELL2,LEF1,HLA-DPB1,TNFSF10,GZMB,HLA-DPA1,CLIC3,DNAJB1,ELMO1,MLC1,MAML3,PLCB1
LEF1,CST7,MYC,NOSIP,CCL5,CXCR3,CCL4,HLA-DPB1,CEBPD,PHACTR2,RFX3,FCER1G,XCL2,VAV3
TCF7,S1PR5,RCAN3,PRKCQ-AS1,FGFBP2,DNPH1,FCRL6,MT1X,KLRF1,CXCR4,TRAPPC9,FCGR3A,TNFRSF18,AUTS2
NOSIP,CCL4,BACH2,FHIT,FCRL6,TNFRSF25,FCGR3A,MT2A,GZMB,IL32,ATXN1,SPON2,HVCN1,HIPK2
CISH,FGFBP2,ARMH1,IL7R,CCL4,TRADD,TBX21,SH2D1A,NCR1,CD69,CMIP,BNC2,IL2RB,JAZF1
RGCC,HLA-DPA1,LINC01550,PLP2,C12orf75,ADSL,CST7,CYTOR,GNLY,PLCB1,FTX,HAVCR2,SYK,GSAP
