"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,-6.3566476458754,0.074,0.66,0,"0","NKG7"
"2",0,-4.78296065479855,0.096,0.648,0,"0","CST7"
"3",0,-4.27858665678691,0.121,0.653,0,"0","CCL5"
"4",0,-3.74657515687086,0.113,0.635,0,"0","GZMA"
"5",0,1.51169770959137,0.691,0.219,0,"0","MAL"
"6",0,-7.72268942946394,0.008,0.472,0,"0","GZMH"
"7",0,1.35314177686503,0.99,0.527,0,"0","LTB"
"8",0,1.10732767245738,0.772,0.322,0,"0","LEF1"
"9",0,-4.63066643186868,0.105,0.551,0,"0","PRF1"
"10",0,-6.66365850325881,0.013,0.451,0,"0","KLRD1"
"11",0,-5.20784753433708,0.032,0.469,0,"0","PLEK"
"12",0,-8.18787271185916,0.014,0.45,0,"0","GNLY"
"13",0,-10.4308252149995,0.003,0.419,0,"0","GZMB"
"14",0,1.08907885859901,0.863,0.449,0,"0","TCF7"
"15",0,-6.0484159649064,0.018,0.428,0,"0","ZEB2"
"16",0,0.973490222767384,0.869,0.466,0,"0","IL7R"
"17",0,-3.98047537280555,0.113,0.509,0,"0","AOAH"
"18",0,1.32036671760593,0.607,0.219,0,"0","RCAN3"
"19",0,1.40122476908352,0.579,0.194,0,"0","CCR7"
"20",0,-8.94573390760815,0.004,0.382,0,"0","FGFBP2"
"21",0,1.08471762016338,0.855,0.483,0,"0","NOSIP"
"22",0,0.875072693082227,0.71,0.341,0,"0","CD27"
"23",0,-7.9882618763984,0.004,0.367,0,"0","CCL4"
"24",0,-3.02872780084766,0.23,0.574,0,"0","EFHD2"
"25",0,0.611063849475298,0.73,0.39,0,"0","CAMK4"
"26",0,0.637308071881493,0.755,0.424,0,"0","INPP4B"
"27",0,0.81503483094042,0.769,0.442,0,"0","TMEM123"
"28",0,1.26050122409453,0.516,0.197,0,"0","AQP3"
"29",0,0.900192842734813,0.537,0.219,0,"0","SERINC5"
"30",0,1.2973442784383,0.484,0.171,0,"0","TRABD2A"
"31",0,0.875490454779068,0.626,0.326,0,"0","PRKCQ-AS1"
"32",0,1.23345276809129,0.47,0.17,0,"0","CD4"
"33",0,0.489172795315495,0.743,0.445,0,"0","SELL"
"34",0,-3.11087273436038,0.086,0.383,0,"0","HOPX"
"35",0,0.870003859572032,0.575,0.278,0,"0","DGKA"
"36",0,-5.81503517736929,0.009,0.305,0,"0","FCRL6"
"37",0,-3.63816015602086,0.057,0.353,0,"0","MAP3K8"
"38",0,-2.98075885717896,0.103,0.398,0,"0","MATK"
"39",0,-2.62374313632056,0.376,0.669,0,"0","CTSW"
"40",0,0.731732006742079,0.693,0.402,0,"0","RGS10"
"41",0,1.01698548734163,0.97,0.681,0,"0","AC010197.2"
"42",0,0.63151947417548,0.583,0.295,0,"0","BACH2"
"43",0,-5.26350532711038,0.04,0.327,0,"0","SPON2"
"44",0,0.516678241838636,0.539,0.255,0,"0","PRKCA"
"45",0,0.790842552587459,0.907,0.629,0,"0","GAS5"
"46",0,0.763808663182841,0.684,0.407,0,"0","SNHG8"
"47",0,0.458547199413829,0.653,0.376,0,"0","BCL2"
"48",0,0.811458176650339,0.565,0.288,0,"0","TESPA1"
"49",0,-2.21582488180593,0.204,0.48,0,"0","MYO1F"
"50",0,-4.1696723091407,0.033,0.308,0,"0","TBX21"
"51",0,0.726836624184117,0.49,0.216,0,"0","FHIT"
"52",0,-3.2291447481611,0.074,0.348,0,"0","HLA-DRB1"
"53",0,0.932606383059442,0.56,0.288,0,"0","PLP2"
"54",0,-2.84368487570918,0.125,0.395,0,"0","TGFBR3"
"55",0,-2.00922313140591,0.282,0.547,0,"0","ID2"
"56",0,1.32903317761411,0.405,0.142,0,"0","SUSD3"
"57",0,-2.29320125805613,0.178,0.438,0,"0","HLA-DPA1"
"58",0,0.71774538956231,0.593,0.334,0,"0","HSPB1"
"59",0,0.574632485082339,0.803,0.546,0,"0","ANP32B"
"60",0,0.781627062036578,0.941,0.685,0,"0","SNHG29"
"61",0,-2.13576742532943,0.227,0.481,0,"0","HLA-DPB1"
"62",0,0.669814252717244,0.864,0.61,0,"0","EIF3E"
"63",0,0.909381838627909,0.535,0.282,0,"0","CORO1B"
"64",0,0.692525643366793,0.573,0.321,0,"0","PIK3IP1"
"65",0,0.748683061222533,0.891,0.641,0,"0","RPL36A"
