,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
1,0,1.082726774,0.994,0.599,0,0,LTB,cd4 na夫e
2,0,0.845943839,0.65,0.254,0,0,MAL,cd4 na夫e
3,0,0.75634008,0.813,0.488,0,0,IL7R,cd4 na夫e
4,0,0.750372759,0.946,0.661,0,0,AC010197.2,cd4 na夫e
5,0,0.748760787,0.824,0.497,0,0,NOSIP,cd4 na夫e
6,0,0.655675305,0.798,0.469,0,0,TCF7,cd4 na夫e
7,0,0.627272628,0.654,0.326,0,0,LEF1,cd4 na夫e
8,0,0.618166329,0.999,0.946,0,0,RPS5,cd4 na夫e
9,0,0.615001254,0.48,0.219,0,0,AQP3,cd4 na夫e
10,0,0.609620771,0.46,0.196,0,0,CCR7,cd4 na夫e
11,0,0.603118571,0.999,0.947,0,0,RPLP0,
12,0,0.587778054,1,0.962,0,0,RPS13,
13,0,0.586571159,0.543,0.293,0,0,PLP2,
14,0,0.582736407,0.994,0.905,0,0,EEF1B2,
15,0,0.568214499,0.999,0.939,0,0,RPL9,
16,0,0.56773682,1,0.977,0,0,RPL32,
17,0,0.566957055,0.977,0.811,0,0,VIM,
18,0,0.564884722,1,0.977,0,0,RPS8,
19,0,0.562995439,0.487,0.224,0,0,RCAN3,
20,0,0.561507972,0.843,0.581,0,0,GAS5,
21,0,0.561491446,1,0.975,0,0,TPT1,
22,0,0.557355866,0.9,0.657,0,0,SNHG29,
23,0,0.544989659,0.999,0.946,0,0,RPL5,
24,0,0.544856236,0.99,0.887,0,0,RPL4,
25,0,0.540622201,1,0.985,0,0,RPL13,
26,0,0.538873492,1,0.969,0,0,RPS6,
27,0,0.532173839,1,0.985,0,0,EEF1A1,
28,0,0.523489206,1,0.978,0,0,RPL11,
29,0,0.521663389,1,0.964,0,0,RPS25,
30,0,0.519621178,0.967,0.821,0,0,RPL22,
31,0,0.517676609,1,0.978,0,0,RPS18,
32,0,0.514577071,1,0.98,0,0,RPS12,
33,0,0.512050663,1,0.979,0,0,RPLP1,
34,0,0.510630399,1,0.969,0,0,RPL18,
35,0,0.510272717,1,0.962,0,0,RPL39,
36,0,0.509789228,0.975,0.824,0,0,FXYD5,
37,0,0.509224683,1,0.974,0,0,RPS3A,
38,0,0.50817078,1,0.957,0,0,RPL36,
39,0,0.501119713,0.999,0.946,0,0,RPL10A,
40,0,0.499925146,1,0.975,0,0,RPL18A,
41,0,0.499290915,0.99,0.894,0,0,EEF2,
42,0,0.493891762,1,0.967,0,0,RPL8,
43,0,0.491124172,1,0.974,0,0,RPL34,
44,0,0.490915634,0.999,0.951,0,0,RPSA,
