"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.87954518997884,0.957,0.055,0,"pDC","PLD4"
"2",0,3.72467136848135,0.976,0.087,0,"pDC","TCF4"
"3",0,3.66909068438432,0.968,0.155,0,"pDC","IRF7"
"4",0,3.63467194115904,0.974,0.065,0,"pDC","IRF8"
"5",0,3.54396866832678,0.893,0.003,0,"pDC","LILRA4"
"6",0,3.21205737981791,0.964,0.148,0,"pDC","APP"
"7",0,3.17421410850807,0.943,0.051,0,"pDC","CCDC50"
"8",0,2.9481603071079,0.926,0.133,0,"pDC","ITM2C"
"9",0,2.92954917526429,0.912,0.219,0,"pDC","FCHSD2"
"10",0,2.92330681366365,0.78,0.012,0,"pDC","SERPINF1"
"11",0,2.87722925520611,0.928,0.25,0,"pDC","PPP1R14B"
"12",0,2.8757861092419,0.819,0.022,0,"pDC","JCHAIN"
"13",0,2.86703722118012,0.923,0.102,0,"pDC","UGCG"
"14",0,2.76109287056011,0.793,0.043,0,"pDC","IRF4"
"15",0,2.69802593987023,0.764,0.166,0,"pDC","GZMB"
"16",0,2.67130144408174,0.82,0.059,0,"pDC","MZB1"
"17",0,2.64937189102932,0.886,0.045,0,"pDC","IL3RA"
"18",0,2.64619057235922,0.991,0.758,0,"pDC","CD74"
"19",0,2.64305376097117,0.894,0.102,0,"pDC","RUNX2"
"20",0,2.50523817375354,0.786,0.002,0,"pDC","CLEC4C"
"21",0,2.50507116661747,0.662,0.01,0,"pDC","TPM2"
"22",0,2.47852239354354,0.65,0.001,0,"pDC","LINC01478"
"23",0,2.46420031330347,0.813,0.03,0,"pDC","RHEX"
"24",0,2.42587267683815,0.641,0.001,0,"pDC","SCT"
"25",0,2.40889196303624,0.818,0.107,0,"pDC","SLC15A4"
"26",0,2.40005032706364,0.721,0.025,0,"pDC","DERL3"
"27",0,2.39493934873211,0.881,0.282,0,"pDC","NPC2"
"28",0,2.36387909779781,0.949,0.291,0,"pDC","PLAC8"
"29",0,2.36235359406367,0.709,0.006,0,"pDC","PTPRS"
"30",0,2.35664437752532,0.692,0.036,0,"pDC","ZFAT"
"31",0,2.35422917032961,0.951,0.229,0,"pDC","CST3"
"32",0,2.3165969171983,0.81,0.042,0,"pDC","NIBAN3"
"33",0,2.3096065140749,0.672,0.006,0,"pDC","AC023590.1"
"34",0,2.30238556502516,0.838,0.086,0,"pDC","BCL11A"
"35",0,2.30021170955783,0.672,0.004,0,"pDC","FAM160A1"
"36",0,2.29240959714164,0.546,0.013,0,"pDC","RASD1"
"37",0,2.26913451234503,0.898,0.261,0,"pDC","ALOX5AP"
"38",0,2.24455448448477,0.622,0.016,0,"pDC","LINC01374"
"39",0,2.19496110381427,0.898,0.114,0,"pDC","AFF3"
"40",0,2.17433566370637,0.691,0.099,0,"pDC","CLIC3"
"41",0,2.14273482496233,0.953,0.301,0,"pDC","HLA-DRA"
"42",0,2.13522756710031,0.949,0.508,0,"pDC","SEC61B"
"43",0,2.13032838127541,0.905,0.212,0,"pDC","C12orf75"
"44",0,2.12183016318024,0.763,0.033,0,"pDC","LILRB4"
"45",0,2.11520469552877,0.774,0.045,0,"pDC","TGFBI"
"46",0,2.09753718269068,0.835,0.16,0,"pDC","MAPKAPK2"
"47",0,2.08559100644961,0.749,0.041,0,"pDC","RNASE6"
"48",0,2.04615507755213,0.63,0.041,0,"pDC","COBLL1"
"49",0,2.02555880529817,0.605,0.003,0,"pDC","CUX2"
"50",0,2.00899525157794,0.721,0.064,0,"pDC","MPEG1"
"51",0,5.67242066023506,0.944,0.065,0,"Monocytes","S100A9"
"52",0,5.57833451745864,0.933,0.049,0,"Monocytes","S100A8"
"53",0,4.02398492566175,0.931,0.068,0,"Monocytes","LYZ"
"54",0,3.92797159453862,0.838,0.026,0,"Monocytes","VCAN"
"55",0,3.84599304992135,0.872,0.036,0,"Monocytes","FCN1"
"56",0,3.64895766810511,0.689,0.012,0,"Monocytes","S100A12"
"57",0,3.24403543412707,0.928,0.153,0,"Monocytes","CST3"
"58",0,3.0291187949348,0.925,0.18,0,"Monocytes","TYROBP"
"59",0,2.86015442653678,0.805,0.138,0,"Monocytes","TYMP"
"60",0,2.77938040816202,0.836,0.239,0,"Monocytes","CTSS"
"61",0,2.73867648668416,0.62,0.052,0,"Monocytes","PLAUR"
"62",0,2.71988926871869,0.692,0.035,0,"Monocytes","MNDA"
"63",0,2.70203330819623,0.302,0.015,0,"Monocytes","G0S2"
"64",0,2.67492973633022,0.626,0.011,0,"Monocytes","CD14"
"65",0,2.65297795939953,0.799,0.122,0,"Monocytes","CEBPD"
"66",0,2.65107131791933,0.658,0.117,0,"Monocytes","NAMPT"
"67",0,2.48623410971354,0.975,0.94,0,"Monocytes","FTL"
"68",0,2.45197299934171,0.831,0.181,0,"Monocytes","AIF1"
"69",0,2.44576897341233,0.681,0.071,0,"Monocytes","PLXDC2"
"70",0,2.42836303707606,0.89,0.438,0,"Monocytes","PSAP"
"71",0,2.38489238085614,0.645,0.028,0,"Monocytes","SERPINA1"
"72",0,2.36635913530039,0.79,0.133,0,"Monocytes","SPI1"
"73",0,2.36128344767281,0.644,0.089,0,"Monocytes","CTSD"
"74",0,2.35328681294286,0.815,0.144,0,"Monocytes","LST1"
"75",0,2.3332319385489,0.83,0.387,0,"Monocytes","SAT1"
"76",0,2.32404460272334,0.95,0.715,0,"Monocytes","S100A6"
"77",0,2.3042751547327,0.727,0.184,0,"Monocytes","GRN"
"78",0,2.23095270776533,0.674,0.159,0,"Monocytes","NCF1"
"79",0,2.21044894190647,0.523,0.06,0,"Monocytes","ACSL1"
"80",0,2.17797433837155,0.568,0.031,0,"Monocytes","TNFAIP2"
"81",0,2.16984091114166,0.591,0.03,0,"Monocytes","MS4A6A"
"82",0,2.16670701471361,0.61,0.058,0,"Monocytes","CSF3R"
"83",0,2.16532835256278,0.853,0.487,0,"Monocytes","TSPO"
"84",0,2.13692404396192,0.551,0.036,0,"Monocytes","RBM47"
"85",0,2.12558496266833,0.863,0.429,0,"Monocytes","S100A11"
"86",0,2.11933980781116,0.506,0.029,0,"Monocytes","SLC11A1"
"87",0,2.08524878885286,0.59,0.048,0,"Monocytes","RAB31"
"88",0,2.07386724968894,0.689,0.179,0,"Monocytes","ARHGAP26"
"89",0,2.05571288761202,0.576,0.039,0,"Monocytes","NCF2"
"90",0,2.04650611996583,0.58,0.063,0,"Monocytes","CFD"
