"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"1",0,3.87954518997884,0.957,0.055,0,"pDC","PLD4"
"2",0,3.72467136848135,0.976,0.087,0,"pDC","TCF4"
"3",0,3.66909068438432,0.968,0.155,0,"pDC","IRF7"
"4",0,3.63467194115904,0.974,0.065,0,"pDC","IRF8"
"5",0,3.54396866832678,0.893,0.003,0,"pDC","LILRA4"
"6",0,3.21205737981791,0.964,0.148,0,"pDC","APP"
"7",0,3.17421410850807,0.943,0.051,0,"pDC","CCDC50"
"8",0,2.9481603071079,0.926,0.133,0,"pDC","ITM2C"
"9",0,2.92954917526429,0.912,0.219,0,"pDC","FCHSD2"
"10",0,2.92330681366365,0.78,0.012,0,"pDC","SERPINF1"
"11",0,2.87722925520611,0.928,0.25,0,"pDC","PPP1R14B"
"12",0,2.8757861092419,0.819,0.022,0,"pDC","JCHAIN"
"13",0,2.86703722118012,0.923,0.102,0,"pDC","UGCG"
"14",0,2.76109287056011,0.793,0.043,0,"pDC","IRF4"
"15",0,2.69802593987023,0.764,0.166,0,"pDC","GZMB"
"16",0,2.67130144408174,0.82,0.059,0,"pDC","MZB1"
"17",0,2.64937189102932,0.886,0.045,0,"pDC","IL3RA"
"18",0,2.64619057235922,0.991,0.758,0,"pDC","CD74"
"19",0,2.64305376097117,0.894,0.102,0,"pDC","RUNX2"
"20",0,2.50523817375354,0.786,0.002,0,"pDC","CLEC4C"
"21",0,2.50507116661747,0.662,0.01,0,"pDC","TPM2"
"22",0,2.47852239354354,0.65,0.001,0,"pDC","LINC01478"
"23",0,2.46420031330347,0.813,0.03,0,"pDC","RHEX"
"24",0,2.42587267683815,0.641,0.001,0,"pDC","SCT"
"25",0,2.40889196303624,0.818,0.107,0,"pDC","SLC15A4"
"26",0,2.40005032706364,0.721,0.025,0,"pDC","DERL3"
"27",0,2.39493934873211,0.881,0.282,0,"pDC","NPC2"
"28",0,2.36387909779781,0.949,0.291,0,"pDC","PLAC8"
"29",0,2.36235359406367,0.709,0.006,0,"pDC","PTPRS"
"30",0,2.35664437752532,0.692,0.036,0,"pDC","ZFAT"
"31",0,2.35422917032961,0.951,0.229,0,"pDC","CST3"
"32",0,2.3165969171983,0.81,0.042,0,"pDC","NIBAN3"
"33",0,2.3096065140749,0.672,0.006,0,"pDC","AC023590.1"
"34",0,2.30238556502516,0.838,0.086,0,"pDC","BCL11A"
"35",0,2.30021170955783,0.672,0.004,0,"pDC","FAM160A1"
"36",0,2.29240959714164,0.546,0.013,0,"pDC","RASD1"
"37",0,2.26913451234503,0.898,0.261,0,"pDC","ALOX5AP"
"38",0,2.24455448448477,0.622,0.016,0,"pDC","LINC01374"
"39",0,2.19496110381427,0.898,0.114,0,"pDC","AFF3"
"40",0,2.17433566370637,0.691,0.099,0,"pDC","CLIC3"
"41",0,2.14273482496233,0.953,0.301,0,"pDC","HLA-DRA"
"42",0,2.13522756710031,0.949,0.508,0,"pDC","SEC61B"
"43",0,2.13032838127541,0.905,0.212,0,"pDC","C12orf75"
"44",0,2.12183016318024,0.763,0.033,0,"pDC","LILRB4"
"45",0,2.11520469552877,0.774,0.045,0,"pDC","TGFBI"
"46",0,2.09753718269068,0.835,0.16,0,"pDC","MAPKAPK2"
"47",0,2.08559100644961,0.749,0.041,0,"pDC","RNASE6"
"48",0,2.04615507755213,0.63,0.041,0,"pDC","COBLL1"
"49",0,2.02555880529817,0.605,0.003,0,"pDC","CUX2"
"50",0,2.00899525157794,0.721,0.064,0,"pDC","MPEG1"
"51",0,1.99148134605645,0.625,0.007,0,"pDC","SMPD3"
"52",0,1.98911191332502,0.779,0.111,0,"pDC","CYB561A3"
"53",0,1.98687348771629,0.906,0.237,0,"pDC","GRN"
"54",0,1.97029792262354,0.775,0.068,0,"pDC","SULF2"
"55",0,1.96234794050624,0.929,0.404,0,"pDC","HLA-DPA1"
"56",0,1.95866028143698,0.523,0.001,0,"pDC","PTCRA"
"57",0,1.89066125924871,0.791,0.109,0,"pDC","UNC93B1"
"58",0,1.88774600547726,0.762,0.193,0,"pDC","PDE4B"
"59",0,1.86700246581169,0.695,0.034,0,"pDC","BLNK"
"60",0,1.86411830413196,0.855,0.238,0,"pDC","CTSZ"
"61",0,1.84011294150841,0.731,0.152,0,"pDC","GPR183"
"62",0,1.83836186413159,0.727,0.062,0,"pDC","WDFY4"
"63",0,1.82845441035833,0.563,0.004,0,"pDC","EPHB1"
"64",0,1.82838843787864,0.764,0.161,0,"pDC","CD2AP"
"65",0,1.82461906028552,0.472,0.003,0,"pDC","LRRC26"
"66",0,1.81694603514566,0.612,0.029,0,"pDC","MYO1E"
"67",0,1.81470547303776,0.783,0.178,0,"pDC","VEGFB"
"68",0,1.81072163144417,0.719,0.098,0,"pDC","SEL1L3"
"69",0,1.79377772010235,0.867,0.322,0,"pDC","PLP2"
"70",0,1.79175837709404,0.943,0.372,0,"pDC","HLA-DRB1"
"71",0,1.77394030510185,0.779,0.133,0,"pDC","CCDC88A"
"72",0,1.77385393169556,0.877,0.177,0,"pDC","FCER1G"
"73",0,1.75352130425574,0.619,0.016,0,"pDC","GAS6"
"74",0,1.74915163046991,0.821,0.25,0,"pDC","HERPUD1"
"75",0,1.74619161126498,0.561,0.004,0,"pDC","DNASE1L3"
"76",0,1.73884333202764,0.652,0.106,0,"pDC","SOX4"
"77",0,1.73127903240087,0.631,0.021,0,"pDC","TNFRSF21"
"78",0,1.72944991082343,0.594,0.039,0,"pDC","TRAF4"
"79",0,1.7146209058623,0.592,0.06,0,"pDC","TSPAN13"
"80",0,1.70738330570806,0.735,0.101,0,"pDC","RPS6KA4"
"81",0,1.70721454852627,0.522,0.006,0,"pDC","SLC35F3"
"82",0,1.67661923891553,0.815,0.208,0,"pDC","HLA-DMA"
"83",0,1.67482370004876,0.893,0.28,0,"pDC","HLA-DRB5"
"84",0,1.65328420769566,0.687,0.109,0,"pDC","UBE2E2"
"85",0,1.65137307000824,0.753,0.123,0,"pDC","HLA-DQA1"
"86",0,1.64704599899091,0.719,0.137,0,"pDC","RRBP1"
"87",0,1.64351540977823,0.415,0.001,0,"pDC","RGS7"
"88",0,1.64040694037364,0.838,0.198,0,"pDC","PTPRE"
"89",0,1.6276122252391,0.41,0.005,0,"pDC","LINC00996"
"90",0,1.62387978687548,0.689,0.096,0,"pDC","DUSP5"
"91",0,1.61524954098229,0.785,0.037,0,"pDC","IGKC"
