,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1,0,2.183948038,0.986,0.316,0,0,LTB
2,0,1.815925697,0.795,0.172,0,0,TCF7
3,0,1.759481001,0.785,0.188,0,0,IL7R
4,0,1.657143682,0.624,0.08,0,0,MAL
5,0,1.593697313,0.666,0.118,0,0,LEF1
6,0,1.507099296,0.793,0.32,0,0,NOSIP
7,0,1.383929552,0.48,0.055,0,0,CCR7
8,0,1.302106988,0.917,0.46,0,0,AC010197.2
9,0,1.25021878,0.999,0.909,0,0,RPL32
10,0,1.226998877,0.955,0.623,0,0,SARAF
11,0,1.19340785,0.999,0.877,0,0,RPL34
12,0,1.190621563,0.999,0.846,0,0,RPS27
13,0,1.185459715,0.998,0.872,0,0,RPS25
14,0,1.178776238,0.999,0.924,0,0,RPL30
15,0,1.169621382,0.609,0.176,0,0,INPP4B
16,0,1.149125316,0.568,0.137,0,0,CAMK4
17,0,1.143174464,0.523,0.152,0,0,PRKCQ-AS1
18,0,1.138095038,0.999,0.963,0,0,RPS12
19,0,1.137358161,0.81,0.625,0,0,JUNB
20,0,1.136075874,0.473,0.087,0,0,RCAN3
21,0,1.13159357,0.599,0.149,0,0,CD27
22,0,1.126680484,0.998,0.856,0,0,RPL39
23,0,1.10890414,1,0.913,0,0,RPL11
24,0,1.104549144,1,0.929,0,0,EEF1A1
25,0,1.099774156,0.999,0.907,0,0,RPS14
26,0,1.096750077,0.999,0.889,0,0,RPS28
27,0,1.089226313,0.998,0.868,0,0,RPL35A
28,0,1.086686397,0.997,0.838,0,0,RPL36
29,0,1.084714683,0.818,0.358,0,0,PCED1B-AS1
30,0,1.080468772,1,0.903,0,0,RPL10
31,0,1.069090854,0.999,0.891,0,0,RPS13
32,0,1.065544894,0.703,0.314,0,0,LEPROTL1
33,0,1.059492416,0.997,0.829,0,0,RPS21
34,0,1.035444188,0.384,0.052,0,0,TRABD2A
35,0,1.030176497,0.96,0.387,0,0,CD3E
36,0,1.025891924,0.999,0.889,0,0,RPS15A
37,0,1.025027522,0.818,0.429,0,0,C12orf57
38,0,1.024902154,0.994,0.829,0,0,RPL9
39,0,1.023737231,0.999,0.943,0,0,TPT1
40,0,1.023129598,0.999,0.856,0,0,RPL14
41,0,1.01967378,0.998,0.86,0,0,RPL37
42,0,1.018734397,0.996,0.837,0,0,RPL5
43,0,1.015548137,0.969,0.701,0,0,RPS29
44,0,0.998448909,0.999,0.877,0,0,RPS23
45,0,0.99750453,1,0.935,0,0,RPL13
46,0,0.99717217,0.986,0.764,0,0,EEF1B2
47,0,0.99638579,0.999,0.91,0,0,RPS27A
48,0,0.995060337,0.904,0.56,0,0,NOP53
49,0,0.992629979,0.823,0.438,0,0,GAS5
50,0,0.98417613,1,0.949,0,0,RPL41
51,0,0.97917002,0.422,0.115,0,0,AQP3
52,0,0.973775787,0.932,0.621,0,0,TOMM7
53,0,0.97329497,0.999,0.902,0,0,RPS18
54,0,0.969731469,0.952,0.695,0,0,RPL22
55,0,0.969442719,0.999,0.898,0,0,RPS3A
56,0,0.962091542,1,0.916,0,0,RPS8
57,0,0.952236153,0.999,0.869,0,0,RPS4X
58,0,0.935988386,0.995,0.817,0,0,RPSA
59,0,0.935086779,0.995,0.844,0,0,RPS5
60,0,0.933002491,0.447,0.123,0,0,PIK3IP1
61,0,0.931555149,0.937,0.803,0,0,RPS26
62,0,0.926166566,1,0.913,0,0,RPL19
63,0,0.923961784,0.998,0.888,0,0,RPS6
64,0,0.921570828,0.999,0.895,0,0,RPL18
65,0,0.917270877,0.999,0.875,0,0,RPL3
66,0,0.91271128,0.958,0.644,0,0,FXYD5
67,0,0.911321233,0.994,0.818,0,0,RPL10A
68,0,0.908751473,0.995,0.905,0,0,RPL21
69,0,0.906626902,0.544,0.206,0,0,BCL2
70,0,0.901199606,0.457,0.143,0,0,OXNAD1
71,0,0.88832669,0.998,0.891,0,0,RPL29
72,0,0.886534361,0.94,0.684,0,0,RPL38
73,0,0.881428368,0.306,0.05,0,0,NELL2
74,0,0.867021208,0.922,0.565,0,0,KLF2
75,0,0.866417523,0.604,0.212,0,0,BCL11B
76,0,0.862543796,1,0.927,0,0,RPL28
77,0,0.861530941,0.994,0.833,0,0,RPL24
78,0,0.860505849,0.753,0.349,0,0,ETS1
79,0,0.84537379,0.993,0.83,0,0,NACA
80,0,0.828022139,0.621,0.234,0,0,SPOCK2
81,0,0.825213207,0.999,0.909,0,0,RPS3
82,0,0.824394797,0.996,0.847,0,0,RPS16
83,0,0.818780837,0.999,0.912,0,0,RPL18A
84,0,0.814203279,0.998,0.901,0,0,RPLP2
85,0,0.808123749,0.995,0.824,0,0,RPL23A
86,0,0.804102776,0.501,0.189,0,0,LINC00861
87,0,0.799971835,0.735,0.378,0,0,CD48
88,0,0.79051395,0.998,0.91,0,0,RPL12
89,0,0.784731617,0.977,0.557,0,0,IFITM1
90,0,0.78319621,0.98,0.788,0,0,RPL4
91,0,0.782966919,0.995,0.833,0,0,RACK1
92,0,0.779763238,0.329,0.084,0,0,LDLRAP1
93,0,0.776091335,0.611,0.278,0,0,RHOH
94,0,0.773950592,0.516,0.184,0,0,CD6
95,0,0.773911951,0.39,0.126,0,0,DGKA
96,0,0.773016021,0.43,0.155,0,0,ABLIM1
97,0,0.769677706,0.999,0.929,0,0,RPS15
98,0,0.76956279,0.998,0.881,0,0,RPL6
99,0,0.763750969,0.419,0.146,0,0,TESPA1
100,0,0.763354584,0.636,0.295,0,0,SELL
101,0,0.762706583,0.845,0.343,0,0,CD3D
102,0,0.76217893,0.381,0.12,0,0,SERINC5
103,0,0.758655265,0.423,0.175,0,0,FHIT
104,0,0.756511653,0.736,0.432,0,0,EIF3E
105,0,0.751266791,0.933,0.602,0,0,TLE5
106,0,0.745971342,0.437,0.147,0,0,CD5
107,0,0.74545743,0.335,0.074,0,0,ANK3
108,0,0.735571305,0.978,0.805,0,0,EEF2
109,0,0.734801757,0.985,0.795,0,0,EEF1D
110,0,0.732524427,0.587,0.321,0,0,NDFIP1
111,0,0.730546755,0.494,0.223,0,0,PDE3B
112,0,0.727438745,0.957,0.781,0,0,PABPC1
113,0,0.726365529,0.999,0.888,0,0,RPS7
114,0,0.723547988,0.408,0.174,0,0,PIM2
115,0,0.723069479,0.933,0.669,0,0,TXNIP
116,0,0.715581733,0.783,0.493,0,0,GSTK1
117,0,0.71534288,0.728,0.472,0,0,RPL36A
118,0,0.715145038,0.81,0.453,0,0,FYB1
119,0,0.715065204,0.998,0.905,0,0,FAU
120,0,0.711711766,0.31,0.08,0,0,TRAT1
121,0,0.711093176,0.948,0.725,0,0,RPL26
122,0,0.707480599,0.899,0.633,0,0,COX7C
123,0,0.699663694,0.31,0.114,0,0,SOCS3
124,0,0.69879649,0.604,0.308,0,0,TMEM123
125,0,0.697794406,0.868,0.602,0,0,RPS20
126,0,0.69409581,0.547,0.29,0,0,SNHG8
127,0,0.690784902,0.623,0.32,0,0,GIMAP7
128,0,0.686111901,0.957,0.733,0,0,RPL31
