B cells	CD4 Memory	CD4 Naïve	CD56 Bright NK cells	CD56 Dim NK cells	CD8 Central Memory	CD8 Effector Memory	CD8 Naïve	CD8 Terminally Exhausted	cDC	Doublets	Early Erythroids	HSPCs	Late Erythroids	Mid Erythroids	Monocytes	NK T cells	Non Classical Monocytes	pDC	Plasma Cells	Pre B cells	Pro B cells	Pro Monocytes	Treg	Undetermined	γδ T lymphocytes
CD79A	LTB	LTB	GNLY	GNLY	CCL5	GZMH	GZMK	GZMK	CST3	MS4A1	PRSS57	PRSS2	HBB	CA1	S100A9	PRKCH	LST1	PLD4	IGKC	IGLL1	DNTT	MPO	LTB	DLK1	GZMH
TCL1A	IL7R	TCF7	IL2RB	GZMB	GZMK	NKG7	IL7R	DUSP2	HLA-DRA	LINC00926	FOS	SPINK2	HBA2	HBM	S100A8	SKAP1	SERPINA1	TCF4	IGHA1	STMN1	IGLL1	AZU1	IL7R	CD34	GZMB
CD79B	TCF7	LEF1	XCL1	SPON2	DUSP2	CCL5	IL32	CCL5	HLA-DRB1	CD79A	GIHCG	AL589693.1	HBA1	CA2	LYZ	ARHGAP15	IFITM3	IRF7	IGHG1	VPREB1	VPREB1	ELANE	AQP3	TAGLN2	FGFBP2
AFF3	MAL	MAL	XCL2	PRF1	CD8A	FGFBP2	KLRB1	CD8B	HLA-DPA1	TCL1A	MPO	C1QTNF4	ALAS2	PRDX2	VCAN	RORA	CDKN1C	IRF8	JCHAIN	TCL1A	VPREB3	PRTN3	TNFRSF4	SPINK2	NKG7
IGHM	JUNB	CCR7	CD7	NKG7	CD8B	CST7	DUSP2	CD8A	HLA-DQA1	FCRL1	SNHG29	MECOM	HBD	AHSP	FCN1	KLF12	FCGR3A	LILRA4	AC244205.1	IGLL5	EBF1	LYZ	IL32	CKB	GNLY
MS4A1	NOSIP	IL7R	CTSW	FGFBP2	GZMA	CD8A	CD8B	GZMA	HLA-DRB5	VPREB3	GATA2	FLT3	SLC25A37	BLVRB	S100A12	TGFBR3	FCER1G	APP	IGLV3-1	H4C3	SSBP2	CTSG	GSTK1	STMN1	PRF1
CD74	LEF1	NOSIP	KLRC1	CLIC3	NKG7	GZMB	CD3E	CCL4	CD74	RALGPS2	C1QTNF4	FAM30A	SNCA	H4C3	CST3	PITPNC1	AIF1	CCDC50	MZB1	TUBA1B	CD79B	RETN	CD52	MDK	TRGV9
IGLL5	AC010197.2	TSHZ2	FCER1G	FCGR3A	CST7	GZMA	LYAR	CST7	HLA-DQB1	BANK1	FOSB	SOX4	TRIM58	HBD	TYROBP	BCL11B	CFD	ITM2C	IGHG3	VPREB3	AKAP12	SRGN	NOSIP	ARMH1	CST7
BACH2	RPS27	INPP4B	KLRF1	CTSW	GZMH	PRF1	CD8A	IL32	HLA-DPB1	NIBAN3	FCER1A	CD34	SLC25A39	SLC4A1	TYMP	RABGAP1L	SAT1	FCHSD2	TXNDC5	HMGN2	TCF4	LRMDA	AC010197.2	ITM2C	CCL5
NIBAN3	RPL32	PRKCQ-AS1	CMC1	CST7	CCL4	CD8B	CCL5	NKG7	FCER1A	RUBCNL	CAVIN2	RNF220	BNIP3L	TUBA1B	CTSS	ANKRD44	MS4A7	SERPINF1	DERL3	TUBB	ARPP21	PRSS57	ITGB1	NRIP1	CCL4
