NK,Monocyte,B_cells,Early_Erythroid,Mid_Erythroid,Late_Erythroid,cDC,pDC,Plasma_Cell,Pre_B_cell,Cycling_NP,NP,ProB,GMP,HSPC,EP,IMP,MkP,MPP,EBM,CD4_Naïve,CD56_dim_NK,CD8_Term_Eff,CD8_GZMK_Exh,CD8_EM,CD8_Naïve,NKT,CD4_CM,MAIT,Tregs,CD56_Bright_NK
GNLY,S100A9,BANK1,PRDX2,HBM,HBA1,HLA-DRA,TCF4,IGKC,AFF3,S100A8,VCAN,IGHM,PRTN3,AVP,HBD,DNTT,MED12L,DNTT,CLC,INPP4B,PTGDS,GZMH,GZMK,GZMH,NELL2,AC002316.1,LTB,KLRB1,IKZF2,CCL3
NKG7,S100A8,AFF3,AHSP,CA1,HBA2,CST3,FAM160A1,IGHA1,CD79B,S100A9,S100A8,IGKC,ELANE,AREG,APOC1,EBF1,PBX1,LTB,HDC,LTB,TRGC2,SGCD,CCL4,CCL5,THEMIS,BNC2,AL136456.1,SLC4A10,RTKN2,XCL1
GZMB,S100A12,RALGPS2,BLVRB,AHSP,HBB,HLA-DPA1,FCHSD2,IGLC2,IGHM,FCN1,S100A9,BACH2,AZU1,CRHBP,ZNF385D,AKAP12,LTBP1,SPINK2,SLC24A3,ANK3,FGFBP2,NKG7,DUSP2,GZMK,SIK3,FNDC3B,IL7R,GZMK,STAM,TYROBP
FGFBP2,VCAN,MS4A1,CA1,HBA2,HBD,HLA-DPB1,IRF4,IGLC3,TCL1A,LYZ,LYZ,CD79B,PRSS57,SPINK2,RYR3,VPREB1,ZNF385D,NEGR1,TPSB2,SERINC5,TRDC,CD8A,RGS1,LYAR,LINC01619,MCTP2,FRY,IL7R,PLCL1,XCL2
PRF1,CXCL8,CD79A,H4C3,HBB,SLC25A37,HLA-DRB1,APP,IGHG1,PCDH9,MNDA,RETN,TCL1A,C1QTNF4,NKAIN2,BLVRB,LTB,STXBP5,FLT3,LTBP1,ADAM19,GNLY,CCL5,CMC1,GZMA,GZMK,JAZF1,AC079793.1,PHACTR2,CASK,FCER1G
CST7,NAMPT,IGHM,ATP5IF1,HBD,SLC4A1,FCER1A,RUNX2,IGHGP,EBF1,VCAN,RBM47,ACSM3,MPO,CALN1,NFIA,VPREB3,PLEK,BAALC,TAFA2,SLC2A3,GZMB,FGFBP2,CCL5,S100A4,ATXN1,TGFBR3,ADAM19,NFKBIA,LDLRAD4,PLCG2
GZMA,FCN1,CD74,FAM178B,HBA1,SOX6,HLA-DQA1,ZFAT,IGHG3,NIBAN3,LGALS1,ARHGAP26,IGLC3,SPINK2,PRKG1,CA1,ARPP21,ITGA2B,RUNX2,CPA3,IL7R,NKG7,ZEB2,CRTAM,DUSP2,IL21R,AOAH,PTPN13,JUN,ARID5B,IL2RB
PTGDS,LYZ,IGHD,TMEM14C,HEMGN,SNCA,CD74,CCDC50,JCHAIN,PAX5,MKI67,SLC8A1,BTG1,CTSG,INPP4B,ANK1,IGLL1,ANGPT1,JCHAIN,HPGD,CDC14A,GZMH,CD8B,CD8A,IL32,PARP8,CD247,BCL2,FOS,TAFA2,ATP8B4
KLRD1,PLAUR,ARHGAP24,TUBA1B,SLC4A1,ALAS2,HLA-DRB5,CUX2,IGHM,CD79A,RETN,AC020656.1,IGLC2,CALR,MEIS1,TMEM14C,TOP2B,PRKG1,MSI2,MS4A2,FAAH2,PRF1,LGALS1,CD8B,SH3BGRL3,WWOX,PLCB1,VIM,TNFAIP3,PELI1,GNLY
TRDC,MNDA,FCRL1,SYNGR1,CA2,HBM,HLA-DQB1,EPHB1,IGHG2,MS4A1,S100A12,NAMPT,PCDH9,SMIM24,ZNF385D,CRACD,MME,DAD1,CD99,TNIK,ARHGAP15,CST7,PLEK,CD74,NKG7,CBLB,ZEB2,RORA-AS1,CD69,CTLA4,KLRC1
CCL5,DOCK4,HLA-DRA,TUBB,PRDX2,AHSP,HDAC9,AFF3,IGHG4,FCRL1,AC020656.1,SIPA1L1,NIBAN3,RNF220,ANGPT1,HBB,TCF4,ABCC4,BCL2,GATA2,PAG1,ADGRG1,C1orf21,HLA-DRB1,S100A10,GGA2,C1orf21,AQP3,DUSP1,SGMS1,CMC1
SPON2,G0S2,BACH2,HMGB1,H4C3,SPTA1,CCSER1,IRF8,MZB1,RALGPS2,GRN,LYST,CCDC191,NUCB2,CHRM3,KLF1,SSBP2,ST8SIA6,OSBPL3,ENPP3,SAMSN1,EFHD2,THEMIS,TUBA4A,HLA-DPB1,PDE3B,SYNE1,LINC00513,ME1,TTN,KLRF1
CD247,CTSS,HLA-DQA1,NME4,CENPF,XPO7,CPVL,PLXNA4,SSR4,VPREB3,TOP2A,CXCL8,H1-2,CDK6,HOPX,CDC42BPA,ERG,RNF130,DDIT4,IKZF2,ICOS,KLRD1,C12orf75,XCL2,CD52,P2RY8,CTBP2,GAS5,CEBPD,ICOS,NCAM1
CTSW,BASP1,PAX5,PCLAF,GYPA,TSPAN5,CLEC10A,RHEX,IGLL5,IGHD,CXCL8,SAMSN1,BCL7A,KCNQ5,TSC22D1,SLC40A1,FHIT,TPM1,ADA,ATP8B4,PRKCA,CCL5,SH3BGRL3,H3-3B,HCST,PPP1R16B,ARHGAP26,TTC39C,PLCB1,IL2RA,CD7
KLRF1,THBS1,OSBPL10,KCNH2,SOX6,TRAK2,GPR183,COBLL1,IGHA2,CCDC191,RNASE2,PDE4D,IRF4,GYPC,NPR3,MPC2,CD9,CRACD,SATB1,AFF2,ITGB1,FCGR3A,CST7,CXCR4,CD8A,TC2N,NCALD,RORA,PTPRM,SESN3,CCL4
CCL4,ATP2B1,EBF1,REXO2,BLVRB,ANK1,RTN1,LINC01478,HSP90B1,NEIL1,S100A6,TMTC2,AFF3,MSRB3,RPL34,MYC,AUTS2,INPP4B,PAM,EXT1,JUNB,PRSS23,GZMA,IFRD1,CD8B,NIBAN1,PPP2R2B,RPLP0,IL4I1,TBC1D4,AREG
KLRB1,PLXDC2,COL19A1,NFIA,HMGB2,SLC2A1,HLA-DMA,LINC01374,AC244205.1,PLEKHG1,AC020916.1,RAB31,PAX5,CLEC11A,RPS4X,PRDX2,TP53INP1,SLC24A3,SDK2,TTC27,AC079793.1,SPON2,GNLY,JUN,B2M,PDE4B,MTSS1,TNFAIP3,RUNX2,DUSP16,CD160
GZMH,SLC11A1,HLA-DPB1,DUT,SPTA1,TRIM58,LGALS1,PTPRS,DERL3,BCL7A,ARHGAP26,SLC2A3,CD37,CALN1,NRIP1,PTH2R,CD79B,ZBTB16,CLNK,LMO4,TSHZ2,CYBA,S100A4,DUSP1,CD81,ATP1B3,NCAM1,SNHG29,TEX14,LEF1,TRDC
HOPX,ARHGAP26,HLA-DRB1,H1-5,ANK1,FECH,AREG,BCL11A,SEC11C,TCF4,ANXA2,MNDA,CD24,ATP8B4,PRKG2,AHSP,ZCCHC7,PHTF1,SCN3A,SYNE1,CAMK4,ZEB2,SYNE1,JUND,HLA-B,CASK,LYN,SOS1,LTB,RGS1,NFKBIA
CLIC3,ACSL1,CD37,TMEM14B,SNCA,SPECC1,INSIG1,RGS7,FKBP11,BANK1,MS4A6A,BASP1,RUBCNL,CCSER1,HINT1,EEF1B2,SOCS2,CDK6,ZCCHC7,ITGA4,CRYBG1,GZMA,MALAT1,NR4A2,CD3D,NR3C2,PPM1L,CDC14A,DPP4,SMCHD1,KLRD1
FCGR3A,C5AR1,ADAM28,MPC2,SLC25A37,GYPA,VIM,COL26A1,HERPUD1,MYO1C,FOS,LGALS1,NEIL1,CSF3R,BST2,PDZD8,CSGALNACT1,RGS18,IGLL1,SYTL3,GNAQ,AGAP1,HLA-DPB1,SRSF7,HLA-DPA1,ANK3,PRKCH,PAG1,TTC39C,NIBAN1,KLRB1
IL2RB,LRMDA,CCSER1,HNRNPAB,GYPB,HEMGN,S100A10,CD2AP,IFNG-AS1,RUBCNL,NEAT1,LRMDA,BTG2,NPW,RPS18,ATP5IF1,MYLK,NKAIN2,AFF1,TMEM164,ZFP36L2,CX3CR1,FLNA,TSPYL2,LGALS1,EML4,PDGFD,MAP3K4,ABCB1,DUSP4,IER2
GZMM,RAB31,BLK,HSPD1,MKI67,TMCC2,GSTP1,DACH1,XBP1,GNG7,ASPM,PLAUR,SOX4,CAT,PREX2,CNRIP1,BACH2,MEIS1,BCL11A,RUNX1,ZNF331,DSTN,CD52,ZFP36,GZMM,RNF19A,VAV3,INPP4B,IER5,SAMHD1,CD63
SAMD3,CD14,HLA-DQB1,RAN,CR1L,HMBS,CSF2RA,SLC15A4,ITM2C,CD24,S100A11,IL1RAP,MME,ETV6,RNF220,NECAB1,MLXIP,SERPINB1,RNF220,STXBP5,VIM,HOPX,TGFBR3,GZMA,HLA-C,ARHGAP26,EIF4G3,RBMS1,DUSP2,MAP3K1,MAP3K8
C1orf21,DMXL2,MEF2C,GLRX5,TUBA1B,GYPB,LGALS2,NRP1,CADPS2,SPIB,RBM47,ATP2B1,H3-3B,MGST1,RPL30,TFR2,GNG7,CAVIN2,MED13L,GAB2,GPR183,MTSS1,CD3G,HLA-DPB1,S100A6,PCNX2,STK39,AC010197.2,IER2,CD28,CTSW
SYNE1,GAB2,CD79B,HMGA1,ALAS2,HECTD4,NR4A3,AC023590.1,PRDX4,IGLC3,SRGN,AGTPBP1,VPREB3,SERPINB1,EGFL7,NPM1,GAB1,ARHGAP6,AUTS2,RYR3,NELL2,TYROBP,EFHD2,SH2D1A,CD99,PAM,AGAP1,PVT1,IL12RB2,USP15,IFITM2
CD7,CSF3R,KHDRBS2,GYPC,SLC25A21,RHAG,EPB41L3,COL24A1,AL589693.1,SOX5,CSTA,GRN,CD79A,PROM1,RPL5,FAM178B,CMTM7,PDLIM1,ITGA4,PAG1,CSGALNACT1,CTSW,PPP2R2B,FOSB,CST7,ITGA4,UTRN,PDE4D,NCR3,TOX,FOS
