"X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5,0,1.51169770959137,0.691,0.219,0,0,"MAL"
78,0,1.45336009461333,0.338,0.112,0,0,"ARMH1"
94,0,1.44760522300251,0.328,0.131,0,0,"SOCS3"
19,0,1.40122476908352,0.579,0.194,0,0,"CCR7"
7,0,1.35314177686503,0.99,0.527,0,0,"LTB"
56,0,1.32903317761411,0.405,0.142,0,0,"SUSD3"
18,0,1.32036671760593,0.607,0.219,0,0,"RCAN3"
86,0,1.30763586858886,0.338,0.127,0,0,"MYC"
30,0,1.2973442784383,0.484,0.171,0,0,"TRABD2A"
28,0,1.26050122409453,0.516,0.197,0,0,"AQP3"
847,0,1.37425484901365,0.828,0.354,0,1,"GZMH"
852,0,1.29673856631029,0.654,0.31,0,1,"CD8A"
860,0,1.130005269931,0.611,0.335,0,1,"KLRG1"
858,0,1.06373052227869,0.554,0.263,0,1,"CD8B"
848,0,1.05527711360605,0.996,0.525,0,1,"CCL5"
862,0,1.0419175635373,0.596,0.351,0,1,"LYAR"
874,6.62312919084098e-261,1.00305412555722,0.462,0.238,2.48718370503651e-256,1,"FCRL6"
859,0,0.987342904628555,0.741,0.464,0,1,"DUSP2"
870,9.20228475235825e-294,0.886715152213626,0.66,0.418,3.45573399305309e-289,1,"HLA-DPB1"
890,1.74093600614679e-186,0.817561884158078,0.538,0.355,6.53773698388302e-182,1,"C12orf75"
1144,0,2.39290476771689,0.557,0.106,0,2,"TSHZ2"
1141,0,1.92311618064075,0.698,0.208,0,2,"CCR7"
1203,0,1.9059429883594,0.364,0.097,0,2,"ACTN1"
1204,0,1.88259999588031,0.369,0.103,0,2,"AC139720.1"
1145,0,1.78495294762745,0.667,0.217,0,2,"FHIT"
1142,0,1.69353230157643,0.731,0.247,0,2,"MAL"
1158,0,1.66632211745763,0.564,0.184,0,2,"TRABD2A"
1192,0,1.57327973675895,0.439,0.149,0,2,"SESN3"
1140,0,1.54548565102254,0.841,0.346,0,2,"LEF1"
1193,0,1.5391297305184,0.414,0.125,0,2,"PLCL1"
2167,0,1.44647110433353,0.499,0.229,0,3,"CCR7"
2162,0,1.30467346034513,0.553,0.266,0,3,"MAL"
2305,4.14738706148284e-182,1.22206017246643,0.372,0.201,1.55746826319865e-177,3,"CD4"
2251,2.87884502647474e-265,1.22014194797319,0.479,0.259,1.08109267279206e-260,3,"RCAN3"
2317,2.85527583777021e-168,1.20857991862208,0.366,0.205,1.07224173535785e-163,3,"TRABD2A"
2137,0,1.1282249550665,0.967,0.562,0,3,"LTB"
2308,1.92829729187612e-177,1.10045285348594,0.408,0.231,7.24133482018238e-173,3,"AQP3"
2163,0,1.06349118462652,0.774,0.488,0,3,"TCF7"
2442,2.70106226421998e-96,1.0577131020571,0.306,0.19,1.01432991208253e-91,3,"GPR183"
2416,4.69646940917037e-107,1.04302385285114,0.336,0.213,1.76366515722575e-102,3,"LDLRAP1"
3067,0,1.90607532550451,0.954,0.35,0,4,"GZMH"
3068,0,1.81967252491066,0.826,0.3,0,4,"CD8A"
3069,0,1.73389309793918,0.761,0.249,0,4,"CD8B"
3096,0,1.71546562207282,0.427,0.121,0,4,"LAG3"
3105,0,1.694927939719,0.354,0.11,0,4,"HLA-DRA"
3109,0,1.67053162856862,0.303,0.095,0,4,"LINC02446"
3106,0,1.66610282816908,0.335,0.106,0,4,"MT1E"
3084,0,1.6626339074442,0.537,0.163,0,4,"HLA-DRB5"
3071,0,1.63370416720367,0.738,0.267,0,4,"HLA-DRB1"
3078,0,1.48129170687942,0.812,0.36,0,4,"HLA-DPA1"
3750,0,1.98466901051453,0.339,0.091,0,5,"TNFRSF4"
3754,0,1.62263402210753,0.316,0.095,0,5,"NPDC1"
3743,0,1.54371897462724,0.439,0.138,0,5,"CD82"
3751,0,1.53002595079109,0.337,0.095,0,5,"CAPG"
3735,0,1.39068518795824,0.552,0.22,0,5,"AQP3"
3739,0,1.33021156644072,0.535,0.221,0,5,"TIMP1"
3728,0,1.25540508596162,0.965,0.567,0,5,"LTB"
3748,0,1.24552891530388,0.417,0.161,0,5,"PPP1R14B"
3729,0,1.21298110661728,0.85,0.462,0,5,"COTL1"
3766,6.04172023435014e-304,1.1574194230299,0.593,0.298,2.26884719960551e-299,5,"CORO1B"
4376,0,3.24448318028492,0.433,0.079,0,6,"TRGV9"
4393,0,1.8424387127732,0.328,0.104,0,6,"TRDC"
4356,0,1.69300376790419,0.926,0.356,0,6,"GZMH"
4392,0,1.69081821980406,0.318,0.091,0,6,"ASCL2"
4391,0,1.50919516395684,0.379,0.127,0,6,"LAG3"
4369,0,1.47705803204236,0.618,0.201,0,6,"CX3CR1"
4358,0,1.41234091982177,0.804,0.284,0,6,"FGFBP2"
4371,0,1.38914509747492,0.587,0.203,0,6,"ADGRG1"
4390,0,1.3857729607213,0.377,0.123,0,6,"PRSS23"
4420,4.03324389316891e-274,1.35609334573224,0.311,0.114,1.51460407920172e-269,6,"IKZF2"
4957,0,2.17877572687212,0.393,0.11,0,7,"HLA-DRA"
4955,0,2.13007460744674,0.438,0.126,0,7,"HLA-DQB1"
4954,0,2.10358948073859,0.54,0.168,0,7,"HLA-DRB5"
4946,0,2.06392757127783,0.682,0.205,0,7,"GZMK"
4944,0,1.88940547867543,0.808,0.253,0,7,"CD8B"
4956,0,1.83742646933419,0.412,0.126,0,7,"LAG3"
4950,0,1.73645150055434,0.703,0.276,0,7,"HLA-DRB1"
4945,0,1.62663411696097,0.848,0.306,0,7,"CD8A"
4952,0,1.62056664698865,0.855,0.464,0,7,"DUSP2"
4959,0,1.54200047143551,0.97,0.803,0,7,"CD74"
5388,0,3.24009181222967,0.905,0.105,0,8,"FCER1G"
5403,0,3.23471507315406,0.533,0.06,0,8,"SH2D1B"
5414,0,3.11282584720014,0.491,0.058,0,8,"IGFBP7"
5442,0,2.99063585938642,0.384,0.053,0,8,"LAT2"
5387,0,2.97477813137781,0.969,0.154,0,8,"TYROBP"
5455,0,2.90136697470117,0.352,0.066,0,8,"CCL3"
5463,0,2.89458634993935,0.304,0.05,0,8,"CHST2"
5421,0,2.8284507005128,0.464,0.079,0,8,"CXXC5"
5391,0,2.69792730191637,0.787,0.181,0,8,"FCGR3A"
5395,0,2.68062009186401,0.827,0.245,0,8,"SPON2"
6379,0,1.62050658035985,0.571,0.221,0,9,"GZMK"
6381,9.02428039378166e-194,1.03886641250626,0.75,0.516,3.38888801627683e-189,9,"IL7R"
6404,1.30180726477841e-46,0.907031719284769,0.445,0.336,4.88867682142237e-42,9,"KLRB1"
6393,1.64057989219924e-60,0.660286395859994,0.51,0.368,6.16086966917581e-56,9,"LYAR"
