gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
AL035446.2	   53.39136557759065	 4.8860138371323129647	0.6491719105828134	0.0000000000000000284757997722014	0.000000000000345781636633841
PRAME	   29.25274359328661	 7.6041346015088926436	1.1595558715466516	0.0000000000000001359262824169131	0.000000000000825276423694288
RXFP1	   52.78157715517569	 5.2636401073957648222	0.7756096004934020	0.0000000000000230368303761445354	0.000000000093245410419174358
EREG	   52.56265829086804	-5.2092247383357603852	0.7921698789422530	0.0000000000000447378331736414491	0.000000000135812877056882025
RBPMS	  128.42052823762521	 1.9683998580050983129	0.3458937174884558	0.0000000001427674807619844930902	0.000000346725103778555527413
CALCRL	   79.50963174806847	 2.5112239616541058851	0.4563467778777792	0.0000000002092223725571584633144	0.000000423431211660262525862
ZNF467	   27.35468027443366	 2.6025486152615333602	0.4564665950636304	0.0000000003082099766732905357869	0.000000467824218342970857480
GSN	  138.38001558797927	 2.0267560588867366000	0.3648175329108886	0.0000000002873282184373027537532	0.000000467824218342970857480
DLK1	   23.91986579466445	 5.2214563266561757615	1.0013007260820788	0.0000000006290669043662508648385	0.000000848751046635487113106
CDKN1C	   39.13580135808528	 3.1509133804042677163	0.6180173961131914	0.0000000012603160755468925679531	0.000001391274373215083500670
NUCB2	  446.32582736436683	-0.9628983073566161899	0.1727502741518190	0.0000000012316768154051772679055	0.000001391274373215083500670
CKB	   77.34216837271246	 2.2912374620172006878	0.4391941003857843	0.0000000014061342251183919678445	0.000001422890657967719318927
PPP1R18	  105.01217968941459	 1.1422168933357401688	0.2073755519034472	0.0000000016155174370108023153790	0.000001509017556740167059401
AC007319.1	   42.64886256797085	 2.0460774753677322124	0.3827174623647885	0.0000000025205785135630860477359	0.000002186241777871182447100
ARHGAP25	  102.33235857700440	 1.1388784974238064240	0.2104876162995343	0.0000000028476900859311501665142	0.000002305300047564130336698
XIRP2	   20.93959628748821	 3.9225652464917373230	0.8146792546950709	0.0000000067340938738621889255177	0.000005110756369394285224175
S100A6	  246.96480736814388	-0.7380460414460117136	0.1398066133515349	0.0000000088592135783068231995627	0.000006328084145963514381601
RYR3	   29.57741230774190	-4.6610516710836327192	1.1443212186966043	0.0000000110886213328411971169643	0.000007480507158038369448598
ANGPT1	  262.53472408906958	 1.2013420253050923758	0.2410074610995448	0.0000000193569614830560441019500	0.000011752579164437476578944
TGFB1	  205.50795646159466	 0.8395061045364444752	0.1642827487749750	0.0000000191237392798195832966559	0.000011752579164437476578944
MDFI	   22.88819797021495	 3.8457705515202960100	0.8655305734533760	0.0000000348870693670660013813495	0.000018790777979771941356979
PRKG1	   12.37036337150657	-6.2198353878444576637	1.6310109235113996	0.0000000355915254496215686219580	0.000018790777979771941356979
IGLL1	  547.92375804974392	-3.3639347216432931020	0.8258906784075485	0.0000000345952760681534108433981	0.000018790777979771941356979
RHOB	   33.98406229793223	 2.7123231747997573748	0.6179005142012921	0.0000001035431768202883775819917	0.000050188212920469349725017
HPGD	   19.47039419036320	 2.5895566505122213918	0.5614182817033386	0.0000001074605563643418545669410	0.000050188212920469349725017
ITM2A	  208.94831028548057	 1.2488094749179612375	0.2694727721945366	0.0000001015403444756951839701942	0.000050188212920469349725017
FOXC1	   11.47966263757052	 5.7389583032864592838	1.3086127481266667	0.0000001423666558836256302906945	0.000064028085273883932775942
ADGRA2	   11.29609347769062	 3.4216590737614414053	0.7460686504657045	0.0000001552060457311488325512014	0.000067309536189762161711124
CDK6-AS1	  114.04235519985394	-1.2428301381731283737	0.2724598079703718	0.0000001690297017305254706654057	0.000070776816141854159594553
MAP3K11	   57.18055193871587	 1.1864046738970368544	0.2592709555378792	0.0000002107760858457048507364672	0.000085315133680813128882157
ANK1	   29.92136195871369	-0.1138416060673728414	0.2298243207482296	0.0000002568787005822416108573010	0.000100621872940972895420393
PKIG	   52.77770263005072	-1.3674640738275127827	0.3069242670224899	0.0000003310351927057692997361264	0.000125617510782067399273051
CASS4	   26.55475906546583	 3.2075580899878475272	0.8136100395825181	0.0000003625971388471938027154738	0.000133424759303681062481972
CYTH4	   22.33888530948986	 2.1405884983232885688	0.4958632600956740	0.0000003917032627479704533363916	0.000139895668222017800124204
EIF3A	  334.96310715348073	-0.6411620088884231183	0.1406613433920384	0.0000004609648515697904750523860	0.000159928462646056167295594
KCNE5	   12.81701899105248	-0.1313998378224711938	0.2585368704160035	0.0000004979478462267645408166486	0.000167960574909211150448907
TRPM4	   10.85634710767174	 5.3148656527564153151	1.5455428368512740	0.0000005272225832950882578039156	0.000173028752133844773014593
ESAM	   24.09739753364472	 2.1499938066417572102	0.5132879344824911	0.0000005634238953784612488070267	0.000180043588462648791737042
HLA-DRA	 1000.47830244144836	 0.8899342099896828673	0.2055205299628318	0.0000006013730614613737416947908	0.000186252255251919920280360
NAA38	  295.45381055335065	-0.7175635379327955921	0.1624939047922528	0.0000006135296228342911569990782	0.000186252255251919920280360
NECAB1	    6.79137394372860	-0.1426877510810720395	0.2802937666609844	0.0000006409603705501523550713372	0.000189833701941231712670075
MROCKI	   17.13831646131232	 2.0599758928039251238	0.4786010158327356	0.0000006574586959872365305831607	0.000190083832032690781170883
RNASE3	   15.21997421842471	-3.2769788490873597020	0.7866084222543526	0.0000007309554717831720737126100	0.000206418425438675785582240
CNRIP1	   39.68864900031831	-2.0599798218542746397	0.5157243885322105	0.0000007714795061308055294698729	0.000212910810066963018284680
WT1-AS	    9.16691488451167	 5.8175446674439825756	1.6652147649902376	0.0000010061881109195682549868178	0.000271514271797695938559514
TFPI	  120.68928514495953	 1.5237711697538567357	0.3796205106513094	0.0000010390411706542149769365302	0.000274284281201176783140938
HOPX	  181.61271704699766	 1.6593347280927228660	0.4324663801201208	0.0000012076564217443919196953066	0.000312012168707279775002605
CCND3	  115.28731944393940	 1.1440256307369065514	0.2793714524166323	0.0000013966457721348388752675767	0.000346111624714966301542135
FREM1	   10.89546537609540	-0.0847153095757947894	0.1985964474956916	0.0000013955045673854683547371325	0.000346111624714966301542135
GBP5	   31.69625277704773	 1.5112068291969515954	0.3704551961270048	0.0000016436016936019277916635958	0.000399165107308164189819227
NPM2	   20.88780491714688	 2.1214748517647374904	0.5381262463217593	0.0000017531909990698961679958740	0.000409579728365614813712786
LY6E	  350.65132637343555	 0.5731664765564072894	0.1350728730173212	0.0000017539443197736942850890581	0.000409579728365614813712786
FHL3	   60.60006775366350	 1.1635021011161190696	0.2849548712601347	0.0000018087505495057693283560574	0.000414408640049972773304610
TMTC2	   41.05045390294652	 1.9150893012352956379	0.4998338289994269	0.0000018990645883653475774920831	0.000427043357342970694972423
TNFRSF4	   18.55346480868362	 3.5669258756669650623	1.0280426665031657	0.0000022701350338548709725838056	0.000501204540292721797793696
RPL22L1	  264.19202788676620	-1.0442115549381263406	0.2635529618533387	0.0000023203742175598136196739817	0.000503148287925514622019596
MGLL	   62.24821292397534	-1.6259968919851128799	0.4308621144558830	0.0000025507855215825359951364090	0.000534037734285805780129475
KLF1	   47.88243895415223	-2.4387480263637808520	0.7119267685670492	0.0000025416619132997784737083499	0.000534037734285805780129475
ME1	    6.11638913410224	 4.4912108429105082053	1.2421740223541327	0.0000029590862043837987848575802	0.000609020064064957162772163
TYROBP	   88.07380015884740	 1.3489453421122685750	0.3530545356555266	0.0000032495015627702552626747141	0.000657644957945320162047420
TPM4	  330.71340749519823	 1.1087374345383476104	0.2897042690605776	0.0000033362885604282345958584727	0.000664140196545574650055510
UQCRQ	  227.79461336643973	-0.8621580087391594871	0.2184897573228946	0.0000034901933744365107572453326	0.000683571260415847528277289
CDK14	   55.60286471188484	-1.4253429613619907901	0.3773580873001874	0.0000043904690687705608673815222	0.000846245490509220940969493
ASRGL1	   27.76609349904659	-1.8666798225584944060	0.5078263939277623	0.0000045781262702878819902119201	0.000868627926564152406073427
TFR2	   24.46052677443256	-2.9004908015023800338	0.9372912022496463	0.0000048068348779417401970648176	0.000897990706505331437795037
ICAM1	   10.71371963125159	 2.6774381169018113269	0.7165559654983233	0.0000053927370836882650918429026	0.000992181915261009308992790
