pathway	pval	padj	log2err	ES	NES	size	leadingEdge
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	2.64610433495032e-18	1.75066262800313e-14	1.10533657731401	-0.893819574632207	-2.55395042559543	110	RPL22L1 SEC11C RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 SEC61G RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 SSR4 RPL27 RPS24 RPS15A RPL36 SEC61B RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPN1 RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPN2 SSR3 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 SSR1 RPS28 RPS4X RPS5 SPCS1
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	2.89319751015856e-17	9.57069736360451e-14	1.06720998682811	-0.911956912858484	-2.53664300738956	91	RPL22L1 RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 EEF1B2 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A EEF1A1 RPL18 RPL5 RPS3 EEF1D RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	5.82257392156218e-17	1.28407163550185e-13	1.05746357275086	-0.922564753814328	-2.51983366969865	80	RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5
REACTOME_NONSENSE_MEDIATED_DECAY_NMD	8.92993487534498e-17	1.47701122838206e-13	1.05746357275086	-0.885699466947141	-2.53940472960991	113	RPL22L1 RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A MAGOHB RPL22 RPL11 RPL28 RPL4 RPS11 PABPC1 RPL18A RPL24 RPL35A SMG6 RPS18 RPS28 ETF1 RPS4X RPS5 PPP2CA RPL30
REACTOME_TRANSLATION	2.04409467349942e-16	2.70474607197443e-13	1.04762648849882	-0.744019646885667	-2.38700933064002	291	RPL22L1 SEC11C RPS14 EIF3A RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 MRPS33 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 EIF2B3 RPS2 SEC61G TUFM RPL27A RPL32 RPLP2 LARS1 PPA1 RPL38 RPL36A RPLP0 RPS16 MRPS2 RPS29 RPL39 RPL34 RPL7 RPL37 SSR4 RPL27 EEF1B2 RPS24 RPS15A RPL36 SEC61B RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 MRPS25 RPS21 RPS9 MRPS15 RPS27 MRPL24 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPN1 RPS13 RPL19 RPL9 RPL13A EEF1A1 EIF3B PPA2 RPL18 RPL5 RPS3 EEF1D RPL29 RPS27A MRPL22 MRPL57 RPL22 RPN2 SSR3 RPL11 RPL28 RPL4 EIF3E MRPL41 RPS11 FARSA PABPC1 RPL18A MRPL52 RPL24 RPL35A MRPS34 RPS18 SSR1 MRPL3 RPS28 MRPL32 ETF1 EIF3K RPS4X RPS5 SPCS1 TRMT112 MRPL4 CARS2 RPL30 QARS1 MRPS21 GARS1 MRPS24 GADD45GIP1 MRPL11 APEH MRPS26 MRPL37 MRPL51 EIF4E SSR2 HARS1 EIF3L EIF3D EIF4B EIF4H PTCD3 MT-RNR2 EIF3F MRPS27 UBA52 KARS1 MRPL21 MTIF2 MRPL28 NARS2 LARS2 EEF1G AURKAIP1 FAU MT-RNR1
DUTERTRE_ESTRADIOL_RESPONSE_24HR_UP	5.29207755715981e-16	5.00176930259561e-13	1.02766987054358	-0.751156170776518	-2.39828234034889	279	AURKB E2F1 POLE2 TST NCAPG2 SLC27A2 SKA3 CENPM MCM7 HELLS CDT1 RRM2 TYMS ATAD2 CENPU PKMYT1 POLQ MCM4 UHRF1 LIG1 LMNB1 RFC2 POLA1 FANCD2 SLC39A8 BRIP1 RPA3 POLD2 RAD51 FANCI RNASEH2A RBL1 TMPO ZNF367 DUT HAUS4 UNG TFDP1 H1-4 MYB C21orf58 NASP DNMT1 STMN1 MCM6 TIMELESS PCNA RRM1 HPRT1 CCDC34 PCLAF ZWINT CDC45 DTL NCAPD2 DEPDC1B MTHFD1 CLSPN LSM4 FEN1 MYBL2 RBBP8 NCAPH BRCA1 PTTG1 BIRC5 KNL1 CDC6 BCL2 ATAD5 CDCA4 LRR1 ANLN DSCC1 SPAG5 GINS2 RACGAP1 CEP78 EXOSC2 CHAF1A RFC4 FAM111B CHTF18 XRCC3 GGH CDK1 NME1 KNTC1 BLM PRIM1 DSN1 VRK1 ASPM CIT GMNN MCM5 NCAPG FANCA RFC3 FANCC MCM2 CHPT1 MMS22L CDK2 CDCA5 GTSE1 XBP1 PPIF SNRNP25 MELK DNA2 TMEM241 WDR62 ASF1B MASTL KIF11 STIL SFXN2 PDSS1 MPHOSPH9 AREG CENPN PAQR4 SMC2 RFC5 KIF4A SLC26A2 XRCC2 TROAP H2AX SLC29A1 TCF19 BRCA2 PSMC3IP CCNA2 ESCO2 L2HGDH GINS3 WDR76 TTK SPC24 TTF2 MCM10 BUB1 CEP55 EXO1 KIF2C TK1 PRR11 NCAPH2 RAD54L CCNB2 SHCBP1 TACC3 FANCG ARL3 ARHGAP11A IMPA2 KIFC1
KEGG_RIBOSOME	4.80607996942771e-16	5.00176930259561e-13	1.02766987054358	-0.912553444611486	-2.51486796189152	85	RPL22L1 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5
REACTOME_SELENOAMINO_ACID_METABOLISM	7.13305570309573e-16	5.33224474770374e-13	1.02766987054358	-0.875468938184407	-2.49681146785321	109	RPL22L1 RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 LARS1 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 AHCY RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5 RPL30 QARS1
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	7.25365821180981e-16	5.33224474770374e-13	1.02766987054358	-0.909127743814197	-2.50930983079489	86	RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	1.74065519645649e-15	1.15161747797561e-12	1.01754479730988	-0.893097819402386	-2.51551976385592	98	RPL22L1 RPS14 RPL26 RPL37A RPL12 RPS12 RPS20 RPL23 RPL21 RPS10 RPLP1 RPL35 RPL31 RPS25 RPL41 RPS6 RPL17 RPL7A RPS17 RPL13 RPL3 RPS23 RPS2 RPL27A RPL32 RPLP2 RPL38 RPL36A RPLP0 RPS16 RPS29 RPL39 RPL34 RPL7 RPL37 RPL27 RPS24 RPS15A RPL36 RPS7 RPL14 RPL23A RPL10A RPL15 RPS8 RPS21 RPS9 RPS27 RPL10 RPS3A RPS15 RPL6 RPL8 RPSA RPS13 RPL19 RPL9 RPL13A RPL18 RPL5 RPS3 RPL29 RPS27A RPL22 RPL11 RPL28 RPL4 RPS11 IMPACT RPL18A RPL24 RPL35A RPS18 RPS28 RPS4X RPS5
