pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_MYC_TARGETS_V1	9.58708371660494e-14	4.79354185830247e-12	0.954541630725724	-0.758411052187478	-2.40957749679343	199	MCM7 TYMS G3BP1 MCM4 VDAC1 SNRPD1 H2AZ1 NAP1L1 C1QBP IMPDH2 POLD2 RPS10 SSBP1 SNRPA CANX RPS6 PPIA FBL PABPC4 SRSF2 SRSF1 CTPS1 TUFM TFDP1 RPS2 DUT PA2G4 NPM1 MCM6 TXNL4A RPLP0 CDC45 RRM1 PPM1G NOP16 EEF1B2 RPL34 HPRT1 PCNA USP1 RPL14 SERBP1 PSMB3 HSPD1 HSPE1 RACK1 CCT7 EXOSC7 DEK EIF3B RPL6 HNRNPA1 NOLC1 MAD2L1 NHP2 YWHAE XPO1 RPS3 SRPK1 RANBP1 RPL18 CDK4 SRM GOT2 RPL22 RAN DDX21 HNRNPU HNRNPA2B1 MYC CCT2 CYC1 SRSF7 SNRPG TRIM28 RUVBL2 CCT4 RFC4 PABPC1 UBA2 NME1 SRSF3 XRCC6 COX5A SMARCC1 ETF1 CAD FAM120A NDUFAB1 XPOT RPS5 CBX3 TCP1 MCM5 CDK2 MCM2 PRPS2 CCT5 CUL1 PCBP1 SNRPD2 CDC20 SF3A1 PHB2 EIF4E APEX1 SSB SYNCRIP EIF3D HDAC2 ODC1 PSMD1 EIF4H KPNB1 HDDC2 BUB3 KPNA2 KARS1 HNRNPA3 RSL1D1 SLC25A3 POLE3 SET CCNA2 CNBP
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.06381891120283e-06	5.15954727800709e-05	0.627256739718528	0.765494605572286	1.93693918741763	148	CDKN1A RHOB ICAM1 JAG1 SLC2A3 SOCS3 EFNA1 GADD45B TNFAIP2 CXCL2 JUNB ZFP36 BCL2A1 SAT1 IER2 ETS2 CD69 SQSTM1 BTG1 RELA LITAF CD44 CFLAR ZBTB10 BCL3 NFKBIA PLAUR REL EIF1 KDM6B TSC22D1 IRF1 RIPK2 ID2 CCNL1 GADD45A IFNGR2 BTG2 KLF10 NFAT5 TNIP2 IL18 CCL5 NFKB1 DNAJB4 BIRC2 NFKB2 B4GALT1 PTPRE TNFAIP3
HALLMARK_E2F_TARGETS	7.50954944445282e-06	0.000125159157407547	0.610526878385931	-0.60751593831234	-1.93211462868507	200	AURKB CENPM MCM7 HELLS EZH2 RRM2 NAA38 ATAD2 DIAPH3 MCM4 LIG1 RFC2 LMNB1 TP53 H2AZ1 NAP1L1 RPA3 CSE1L RNASEH2A POLD2 PRKDC TMPO LYAR TIMELESS UNG SRSF2 HMGB3 SRSF1 CTPS1 DUT SSRP1 HMGB2 PA2G4 MCM6 POP7 TUBB NASP DNMT1 STMN1 PCNA CKS2 SMC1A PAICS USP1 NCAPD2 ANP32E BRCA1 MYBL2 DEK SPAG5 NOLC1 MAD2L1 PRIM2 XPO1 PTTG1 RANBP1 WEE1 CDK4 BIRC5 RACGAP1 RAN DSCC1 STAG1 MYC IPO7 RBBP7 ING3 ILF3 NME1 PDS5B ORC6 XRCC6 CDK1 SMC4 CIT RFC3 PHF5A MMS22L CTCF CCP110 MCM5 PNN CKS1B SPC25 MCM2 MELK TFRC CDC20 PRPS1 NUP205 SYNCRIP ASF1B TCF19 HMMR GINS3 KIF4A KPNA2 PSMC3IP DCTPP1 SPC24 PSIP1 BRCA2 H2AX CDCA8 UBE2S TK1 KIF2C RAD51AP1 MSH2 CENPE TACC3 CDCA3 HNRNPD TRIP13 SNRPB CCNB2 AK2 SHMT1 GINS4
HALLMARK_G2M_CHECKPOINT	1.55084650816631e-05	0.000191422657445791	0.575610261071129	-0.608446144583252	-1.9258187931977	193	E2F1 AURKB CENPF EZH2 POLQ H2AZ2 G3BP1 NSD2 LMNB1 SNRPD1 H2AZ1 RBL1 TMPO SRSF2 HMGB3 SRSF1 TFDP1 MCM6 CDC45 NASP E2F3 STMN1 CKS2 SMC1A DTYMK CDC6 MYBL2 NOLC1 MAD2L1 PRIM2 XPO1 KNL1 WRN UCK2 PTTG1 CDK4 SLC7A1 BIRC5 RACGAP1 HNRNPU NCL STAG1 MYC GINS2 ILF3 NUP98 CHAF1A PDS5B ORC6 SMARCC1 CDK1 SMC4 NOTCH2 HMGN2 NDC80 CTCF MCM5 FANCC CKS1B MCM2 CUL1 CDC20 STIL KIF15 SYNCRIP ORC5 KIF11 ODC1 SRSF10 HMMR KPNB1 SMC2 CDC7 KIF4A BUB3 KPNA2 DBF4 EXO1 TROAP BRCA2 TTK H2AX CDC27 KIF20B CCNA2 BUB1 UBE2S KIF2C CENPE TACC3 HNRNPD RAD54L CCNB2 KMT5A RPS6KA5 SFPQ DKC1 ATF5 FBXO5 DDX39A KIF23
HALLMARK_MYC_TARGETS_V2	1.91422657445791e-05	0.000191422657445791	0.575610261071129	-0.780162411218843	-2.0892994130164	56	MYBBP1A TCOF1 MCM4 PPRC1 UNG PA2G4 NPM1 NDUFAF4 NOP16 RCL1 HSPD1 HSPE1 NOLC1 LAS1L PUS1 CDK4 SRM MYC SORD MRTO4 FARSA IMP4 CBX3 TMEM97 MCM5 RABEPK DCTPP1 PRMT3 WDR43 NOC4L UTP20 RRP12 SLC19A1 PES1
HALLMARK_OXIDATIVE_PHOSPHORYLATION	4.76428324139428e-05	0.000397023603449523	0.557332238758646	-0.583743121320375	-1.84855501751386	196	UQCRQ NDUFS6 VDAC1 NDUFA2 ATP5MC1 GPI NDUFB2 ATP5MF ATP5PD HSPA9 TIMM13 SLC25A5 ATP5ME MRPS15 CYCS COX6C MDH2 IDH2 ETFB NDUFB1 ATP5F1A COX7C NDUFB6 COX5B GOT2 GRPEL1 POLR2F NDUFA1 NDUFA4 CYC1 FH CS COX6B1 NDUFS8 COX5A NDUFV1 RHOT1 ATP5F1D AFG3L2 NDUFAB1 SLC25A6 LRPPRC ATP5MC2 UQCRH ECHS1 NDUFA3 COX10 ATP5MC3 ACAT1 IMMT MRPL11 COX7A2 PHB2 COX4I1 NDUFB3 ATP5PF HSD17B10 PDHA1 ATP6V1F ACADVL NDUFB7 COX7B UQCRC1 UQCR11 MPC1 SLC25A3 TOMM22 NDUFS1 GPX4 NDUFS7 SLC25A11 NDUFA6 OAT TOMM70 OPA1 MRPS12 ACO2 UQCRB ACAA1 OGDH TIMM9 COX8A COX11 SDHB ATP6V1D SURF1
HALLMARK_COMPLEMENT	0.000311433147062176	0.00222452247901555	0.49849310876659	0.718615485731294	1.78020137591831	124	ME1 LGALS3 CTSH SPOCK2 FCER1G DUSP6 TIMP1 GCA IRF2 WAS CTSC CALM3 GNAI2 APOBEC3G LYN ZEB1 CASP4 LAMP2 PIM1 CTSB PLAUR RHOG IRF1 CASP3 PIK3R5 CTSS LCP2 CASP1 USP8 LAP3 TIMP2 CCL5 PRKCD TNFAIP3 MSRB1 CASP7 CALM1 SERPING1 PPP2CB SH2B3 CD46
HALLMARK_IL2_STAT5_SIGNALING	0.000436460028249558	0.00272787517655974	0.49849310876659	0.691483393184043	1.7471898333668	145	TNFRSF4 CDKN1C RHOB IL18R1 SLC2A3 HOPX GADD45B CISH CCND3 IL3RA CD79B SNX9 AHR SLC1A5 ANXA4 GBP4 PRKCH CD44 PIM1 ITGAV ITGA6
HALLMARK_MYOGENESIS	0.00405831955508793	0.0202915977754397	0.279865652661932	0.718788016915308	1.70990969064657	88	TNNT1 CDKN1A CKB GSN GADD45B PTP4A3 PLXNB2 TGFB1 MEF2C ITGB1 MEF2A TPM3 ATP6AP1 APP RB1 MYH9 SIRT2 SPTAN1 HDAC5 BIN1
HALLMARK_TGF_BETA_SIGNALING	0.0037037037037037	0.0202915977754397	0.310776919977249	0.812176053356188	1.77814994494062	43	CDKN1C ID1 JUNB TGFB1 SPTBN1 HDAC1 TGFBR1 ENG UBE2D3 FKBP1A CTNNB1 PPP1CA ID2 IFNGR2 KLF10 BMPR2 ARID4B RHOA XIAP
