gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
ISYNA1	    487.65864940689596	 2.2380131610128426445	0.302547946651665	0.00000000000000774893291483852	0.00000000011902360957192
KLHDC8A	    103.60519503065466	-5.5974708961186987466	0.909412817947936	0.00000000000035539446473835025	0.00000000181961965946035
LGR4	     73.54559563053587	-3.7503317827043685107	0.547463628795057	0.00000000000024184186098724415	0.00000000181961965946035
MBOAT2	    851.97347183489637	-2.0705643155898938446	0.307569369550962	0.00000000000079201550853003654	0.00000000304133955275534
HBM	  12759.33323586612823	-6.6833387687181096126	1.528536284211798	0.00000000000253197739661219536	0.00000000777823456239266
ATP1B2	    211.31146976309498	-4.9814408563109671135	0.899898436604909	0.00000000000404140775816995927	0.00000001034600386091510
AQP1	    336.96829858424962	-4.8097736800113217726	0.852330066939581	0.00000000000541659551059588637	0.00000001039986338034410
CA2	   5413.97248287902676	-4.2634812204189111995	0.772365222134570	0.00000000000491509407402811462	0.00000001039986338034410
NKAIN2	    899.58889613965016	 2.0743370573070567531	0.325812961646796	0.00000000001014194772896775994	0.00000001730892412410498
OPTN	    893.06244779136284	-2.0051413884043642888	0.323610770260219	0.00000000002459462830838924195	0.00000003434304461971443
MAPK12	    169.45145193202353	 2.5945753503109356686	0.416309843792353	0.00000000002395804899213162730	0.00000003434304461971443
TSPO2	    462.61052949561389	-6.2347292038239707779	1.500067425105634	0.00000000006688056582113985711	0.00000005707141616737268
ACHE	    151.10003438763684	-3.9125461970213377683	0.707536255419674	0.00000000005584642132993572311	0.00000005707141616737268
NPM2	    119.98559810011658	 3.0033126901458526703	0.492657209656966	0.00000000004682966352529977565	0.00000005707141616737268
IFIT1B	    880.63678816564618	-5.7882580680605624224	1.505975079984813	0.00000000006228995024729070652	0.00000005707141616737268
C17orf99	    171.90570831220910	-3.6942274360268174682	0.665519945632027	0.00000000006409216856901057008	0.00000005707141616737268
CPXM1	    418.56086724537653	 2.1270540452572563872	0.350250913271802	0.00000000005306612225526419010	0.00000005707141616737268
ADA	    508.18380277749134	 2.1460404596890514384	0.352099086536091	0.00000000005459669964717457438	0.00000005707141616737268
PDZK1IP1	    748.77655245045469	-5.5196096517735107057	1.338840358604353	0.00000000007828605004669290086	0.00000006328809098511594
ART4	    170.80845789117387	-5.2280767051318592920	1.100289415278457	0.00000000009503364622883654861	0.00000007298584030374647
AC100835.2	     51.22351354108764	-3.8566347790499539983	0.674337913650633	0.00000000013426006496074509935	0.00000009820164751414499
