pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_HEME_METABOLISM	4.0327645313025e-12	2.01638226565125e-10	0.887074988399873	-0.711042190978275	-2.39636494126106	195	PC KAT2B RIOK3 SLC22A4 USP15 MARK3 EZH1 ADD1 CCND3 GAPVD1 SEC14L1 BTRC CIR1 ADIPOR1 CLCN3 TOP1 TMEM9B PICALM HDGF DCUN1D1 EPB41 FBXO9 SLC11A2 CTSB CDC27 MOSPD1 PPP2R5B NARF SLC66A2 TFRC XPO7 MGST3 ATG4A MARCHF8 HEBP1 MARCHF2 RANBP10 RAD23A GYPC GCLC HAGH MKRN1 PSMD9 MFHAS1 MXI1 MAP2K3 EIF2AK1 FOXJ2 MPP1 NNT GLRX5 ERMAP RNF123 E2F2 NR3C1 GMPS SLC25A38 DCAF11 LPIN2 CAST NCOA4 TNRC6B TRAK2 FOXO3 SNCA SLC30A1 KLF3 UCP2 DCAF10 BPGM H4C3 FBXO7 BSG NUDT4 GCLM BNIP3L UROS PPOX NFE2L1 UBAC1 PIGQ TSPAN5 FBXO34 BLVRA TCEA1 FN3K ATP6V0A1 LRP10 BLVRB TENT5C HTRA2 SMOX UROD RNF19A DAAM1 CPOX TRIM58 KDM7A ALAD IGSF3 SIDT2 ABCB6 AQP3 BCAM TNS1 FECH RBM38 LMO2 ENDOD1 ISCA1 EPOR BMP2K KHNYN NEK7 OPTN RCL1 SLC2A1 SLC30A10 MINPP1
HALLMARK_G2M_CHECKPOINT	3.40606678604359e-07	8.51516696510898e-06	0.674962860011025	-0.621949384182288	-2.09610304199076	195	CDKN1B NUP50 SRSF1 HIRA CASP8AP2 KMT5A TNPO2 CUL4A TOP1 PRPF4B UPF1 POLQ KIF20B DR1 ATF5 INCENP CDC27 TMPO KATNA1 NSD2 JPT1 POLA2 LBR RACGAP1 RBL1 CENPA PRC1 SLC7A5 TACC3 MAP3K20 CHAF1A BARD1 TROAP BIRC5 PRIM2 CTCF SMC1A TFDP1 E2F2 XPO1 MKI67 RAD21 CDC25B KIF4A CENPE H2AX NUSAP1 KIF23 E2F4 CENPF KNL1 NUMA1 CDKN3 STAG1 KIF22 GSPT1 TOP2A FOXN3 KIF11 KIF2C NOTCH2 NEK2 AURKA STIL CCNB2 PLK4 UBE2S SMC4 TRA2B SAP30 ABL1 AURKB CDC20 WRN E2F1 CCNF UCK2 TTK CDK1 HMMR MAPK14 PLK1 KIF15 RAD54L SUV39H1 PTTG1 KPNA2 NDC80 HUS1 CCNA2 BUB1 FBXO5 MYBL2 CDC25A TPX2 CCNT1 MCM6 HMGB3 EXO1 SYNCRIP CDKN2C RBM14 TLE3
HALLMARK_E2F_TARGETS	7.76300043184706e-06	0.000129383340530784	0.593325476396405	-0.59155527847525	-2.00325911528514	199	CIT NCAPD2 CDKN1B SRSF1 ANP32E HMGB2 TMPO ORC2 NUP153 JPT1 TFRC POLA2 LBR RACGAP1 DCK TACC3 EED SPAG5 ATAD2 BARD1 PA2G4 DCLRE1B CCNE1 MXD3 BIRC5 MMS22L PRIM2 CTCF DEK SMC1A RAD51AP1 XPO1 MKI67 POLE4 RAD21 CDC25B BUB1B TK1 SPC24 KIF4A CENPE TUBG1 SLBP KIF18B RFC1 H2AX DNMT1 DEPDC1 CDKN3 CHEK2 DLGAP5 STAG1 KIF22 SMC6 GSPT1 TOP2A RFC3 CBX5 KIF2C AURKA RPA1 LYAR CDCA3 CCNB2 PLK4 UBE2S SMC4 TRA2B UBE2T AURKB CDC20 RRM2 RPA3 DIAPH3 CDK1 HMMR PLK1 PPP1R8 SUV39H1 TIMELESS NUP107 BRCA1 CDCA8 PTTG1 KPNA2 CENPM HUS1 MYBL2 CDC25A UBR7 PPM1D MCM6 POLD3 ASF1A PRKDC MRE11 HMGB3 SPC25 TCF19 E2F8 MELK SYNCRIP PAN2 CDKN2C ASF1B GINS4 GINS3 RAN NUP205 LIG1 TRIP13
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.00145753316763169	0.0182191645953962	0.45505986738723	-0.496916188633176	-1.67764454514585	197	SDHA MFN2 NDUFB1 NDUFA2 COX17 COX7B ATP6V1E1 NDUFS7 NDUFB3 NDUFA1 NDUFB7 ETFDH UQCRQ TIMM8B ATP5ME ETFB GRPEL1 ACAT1 NDUFS6 NDUFV2 CS ISCU NDUFA3 NDUFS1 NDUFA9 ATP5PD MGST3 PDHX HCCS CYB5A SDHB UQCR11 ATP5F1E SURF1 TIMM10 COX5B ATP6V1D OPA1 NNT ATP5MG ATP6V1C1 CYB5R3 OAT ETFA DECR1 NDUFB4 COX6A1 ATP6V0C MRPL35 UQCR10 ATP6V0B MRPS22 ATP5F1B MPC1 NDUFC1 RHOT1
HALLMARK_MITOTIC_SPINDLE	0.00207745058820198	0.0207745058820198	0.431707695803346	-0.487246305420413	-1.64023266916477	193	EPB41L2 TBCD CEP192 WASF2 CD2AP KNTC1 ACTN4 ECT2 KIF20B EPB41 TUBA4A CEP250 INCENP CDC27 KATNA1 RANBP9 TUBGCP2 RACGAP1 PRC1 HOOK3 PCGF5 PCNT CDK5RAP2 ITSN1 BIRC5 STAU1 TUBD1 SMC1A KLC1 ARF6 KIF4A CENPE MID1 SOS1 RICTOR RFC1 EZR NUSAP1 KIF23 CENPF NUMA1 TUBGCP3 PIF1 DLGAP5 TUBGCP5 KIF22 SAC3D1 CKAP5 TOP2A KIF11 KIF2C NOTCH2 NEK2 AURKA DYNC1H1 CCNB2 ANLN SMC4 ABL1 PPP4R2 TSC1 CLASP1 CDC42EP4 TTK CDK1 BCL2L11 PLK1 SASS6 KIF15 CCDC88A CDC42EP1 ALMS1 STK38L DYNLL2 NDC80 PALLD BUB1 FBXO5 CLIP1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.00254309126871998	0.0211924272393331	0.34452128726268	0.61220232069952	1.74088828067256	187	CXCL3 CXCL2 EGR3 EGR1 JUN DUSP2 ZBTB10 STAT5A NFKBIA IL1B PNRC1 PMEPA1 TSC22D1 PLAU TIPARP LDLR ABCA1 FOS ZC3H12A F2RL1 NR4A1 RIPK2 INHBA IER2 NFIL3 ACKR3 JAG1 TAP1 CCL4 DUSP1 EGR2 CD69 EFNA1 IFIT2 KLF6
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.0174590384098845	0.115834004834811	0.179054499269993	-0.531029954967583	-1.61890835389898	92	MKNK2 CDKN1B CLTC ATF1 PRKAG1 MKNK1 MAPK1 ECSIT AP2M1 ARF1 ACTR3 PPP2R1B MAP2K3 RPS6KA1 CAB39 AKT1S1 MAPKAP1 UBE2D3 CDK2 MAP3K7 RPTOR CSNK2B E2F1 CDK1 RAF1
HALLMARK_PROTEIN_SECRETION	0.0185334407735697	0.115834004834811	0.173713219262156	-0.526545228508974	-1.60523612870551	92	CLTC AP2S1 GBF1 YIPF6 GOSR2 COPE CLCN3 ANP32E COPB1 NAPA AP2B1 MON2 COG2 ATP7A COPB2 GOLGA4 STX7 MAPK1 SGMS1 AP2M1 ARF1 GALC STAM IGF2R RAB5A TSG101 ARCN1 VPS45 NAPG RER1 ATP1A1 YKT6 TOM1L1
HALLMARK_ANGIOGENESIS	0.0315215194988887	0.175119552771604	0.114790404232843	0.788467022587076	1.68958414747419	21	PGLYRP1 ITGAV
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.0387711516346312	0.193855758173156	0.0928974976713944	0.615659719939879	1.54870994596223	74	CXCL3 JUN
HALLMARK_ESTROGEN_RESPONSE_LATE	0.052103041769757	0.23683200804435	0.0749258356507951	0.512748014521601	1.42686804492556	155	EGR3 NBL1 MEST DUSP2 NXT1 SLC27A2 MYB NRIP1
HALLMARK_IL2_STAT5_SIGNALING	0.0679611650485437	0.283171521035599	0.0645685196273197	0.489274951129608	1.38078064832348	176	TNFRSF4 CDKN1C ITGA6 HOPX PTGER2 PLAGL1 AHCY
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.078728362183755	0.302801393014442	0.0647833742605669	0.583968442792087	1.44796510411792	65	SCD IDI1 CYP51A1 CHKA TRIB3 PNRC1 PCYT2 PMVK HMGCS1 ABCA2 HSD17B7 GNAI1 LDLR FABP5 FASN SQLE NFIL3 GSTM2 JAG1 NIBAN1 HMGCR TM7SF2 ACAT2 TP53INP1 MVD STX5
