pathway	pval	padj	log2err	ES	NES	size	leadingEdge
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	5.04310439328908e-47	3.42779805611859e-43	1.78578387179408	0.757750828346333	2.90434037519846	309	MEG3 SPINK2 C1QTNF4 CD34 MZB1 SMIM24 COL5A1 BAALC ITM2C SV2A HPGDS ISYNA1 PROM1 LAPTM4B NKAIN2 SHANK3 IGLL1 RBPMS FAM30A MEST HOXA5 CBX2 GUCY1A1 CALN1 GATA2 ERG FAM216A F2R ANGPT1 HSH2D ITGA9 ZNF165 COL24A1 GNAI1 DNMT3B ANKRD28 FAM171B MPL BEND4 DIPK1B NPR3 SCD ZNF711 B4GALT6 ARMCX1 IGFBP7 DPYSL3 TRO EBPL SAMD13 BSPRY SYPL1 MMP28 CCDC171 ZNF521 MEGF6 POGLUT2 RAB34 CDCA7 FABP5 CYTL1 GLIDR OBSL1 FHL1 TMEM163 SCHIP1 CRISPLD1 NREP CHST13 MSRB3 RHOBTB1 GNA15 TMEM38B SERPING1 CD109 PLAGL1 HOXA10 PRXL2A RCN1 TRIP6 KIT MICU3 HOXA9 FAIM FLT3 PHACTR1 SLC27A2 CCNB1IP1 SMYD3 KDM5B TMEM44 MAP7 CDK6 DSG2 JUP BTBD3 KHDRBS3 AKR1A1 ABRAXAS1 ZBTB8A FGD5 ZBED3 NRIP1 ZMAT1 RAVER2 ZNF512B MACROH2A1 TCEAL4 DEPTOR MEIS1 CYYR1 MBLAC2 IL18 PM20D2 ZNRF1 TFPI BEX2 BIVM CDK2AP1 EOGT TGFBRAP1 ETV6 WASF1 HADH TXNRD3 MYB MIR155HG AREG DPY19L2 SH3RF1 STMN1 TRIM24 TCAF1 BCAT1 SLC9A7 ABCC1 ZNF302 SLC39A10 PKD2 F2RL1 MAST4 SPART TFEC CRIM1 SSBP2 TAF1D HHEX GATM TCEAL9 HLF SETD9 GALNT7 ERLIN2 EMP1 PRDM16 CTHRC1 VAV3 AKR1C3 C11orf54 DPY19L4 MSI2 PXDN LPIN1 ZNF117
IVANOVA_HEMATOPOIESIS_MATURE_CELL	4.85687115395494e-28	1.65060766167159e-24	1.37274298193398	-0.749652574960485	-2.48119724915755	265	IFIT1B SLC4A1 GYPA ALAS2 TLCD4 PAQR9 RHD SPTB SMIM5 RHAG SLC22A23 TMCC2 SLC25A37 BPGM SPTA1 FAM210B SNCA LGMN ANKRD9 E2F2 CPEB4 KEL STRADB SPECC1 HAGH KDM7A TRAK2 MARCHF8 MKRN1 TCP11L2 TENT5C EPOR FN3K ABCB6 PC ADIPOR1 MXI1 BNIP3L TBCEL MOSPD1 PRC1 PIGQ RIOK3 TSPAN17 NUDT4 EHBP1L1 CAST USP32 HEMGN SLC11A1 GABPB2 CMAS CTSH CTSB XPO7 ATP6V0A1 UBAC1 ARHGAP19 WIPI1 GPCPD1 C1S WDR26 PITHD1 MARCHF2 PICALM SERINC5 KLF3 MCUB GUCD1 GTPBP2 LBR GAPVD1 CDKN2D ATG4A BMP2K TMPO ARL6IP1 CYBB USP7 SLC66A2 RFFL SLC1A5 MAP4K5 SMOX MPP1 RBMS1 DAAM1 MGST3 TPRG1L PPOX DCK CCND3 ADD1 HEBP1 RAB6A CCNA2 TMEM9B STX2 OTUD5 FBXO34 DCAF10 AP2A2 DEDD2 CDKN3 G2E3 EPS15 SLC25A38 ACP1 SLC30A10 CD226 STMP1 AGFG1 CIR1 C1GALT1
JAATINEN_HEMATOPOIETIC_STEM_CELL_DN	2.89227258450437e-27	6.55292558562539e-24	1.3575740855908	-0.779196034625909	-2.51760420757921	208	HBM SLC4A1 CTSE GYPA SELENBP1 ALAS2 ACSL6 CA1 RHD HBZ ARG1 RHAG KRT1 TMC5 CTTN JAZF1 HBD RTN1 SLC25A37 TGFBI BPGM NPL LGALS3 LY9 SNCA BLVRB SLC14A1 ANKRD9 RORA KLF1 LBH AQP3 BCL2L11 XK NID1 TENT5C DCAF12 RBP7 MPEG1 GIMAP4 CX3CR1 CPVL SULF2 CD163 FCGR2A SGSH CTSH SNTB2 CTSB IGSF6 CCR1 GPCPD1 TFDP1 PRKCA MARCHF2 ISG20 CYP1B1 IL13RA1 CDKN2D CD1D ZER1 CYBB GABARAPL1 PNP IGF2R GPR18 RASGRP1
CHYLA_CBFA2T3_TARGETS_DN	1.51513361303896e-19	2.57459079195646e-16	1.14219120216838	-0.746916748112364	-2.38071571402439	181	TSPO2 CTSE ALAS2 TRIM10 EPB42 TLCD4 PAQR9 RHD ACKR1 C17orf99 RHAG SLC22A23 TAC3 ANK1 FHDC1 AGTR1 ERFE NFIA BLVRB RFESD YPEL4 RAB3IL1 KEL TNS1 PPP2R5B TRAK2 MARCHF8 TTC39A TMEM72 PIK3R2 SMIM1 MBOAT2 CLCN2 FN3K MFHAS1 PC SEC14L2 ELL2 SLC11A2 TFR2 ATP7B BCAM SPHK1 AGAP1 EVI5 UBAC1 PPM1L SORBS1 CHAC2 ISG20 PTK2 AGPAT3 C1orf198 SEPTIN8
HUANG_AML_LSC47	1.14446974681091e-17	1.55579217381475e-14	1.0864405425825	0.891150823646335	2.64095810343173	47	SPINK2 CD34 TNFRSF4 SMIM24 MAMDC2 GCSAML CPXM1 SPNS2 LAPTM4B MYCN SHANK3 GPSM1 FAM30A HOXA5 KCNK17 NYNRIN HOXA6 GUCY1A1 GATA2 INKA1 ANGPT1 PRSS57 COL24A1 DNMT3B DIPK1B DPYSL3 AIF1L BEX3 MMRN1 HOXA9 FLT3 CDK6 ADGRG1 TFPI BIVM
MULLIGHAN_MLL_SIGNATURE_1_DN	2.82610837014e-16	2.74415122740594e-13	1.03769615548758	0.650606955336783	2.38581829330879	198	EGR3 TRH GGT5 CXCL8 MDK HPGD CXCL2 BAALC CD200 NBL1 HPGDS ISYNA1 SPRY1 TBXA2R RBPMS TIE1 YES1 ITM2A CLIP3 MPL BIN1 PTP4A3 NPR3 EFHC2 IFITM1 EGFL7 PTPRCAP CAVIN1 PTPN14 CYTL1 PMAIP1 ATP1B1 SEPTIN11 NIT2 STAP1 ATP2A3 JUND CKB TTC3 CCNG1 DEPTOR KATNB1 MCTP2 LOXL1 TFPI CD99 TM4SF1 SRSF5 HGF TGFBRAP1 PRKCQ WASF1 MAPRE2 AREG STAT5A ELMO1 TPSAB1 TRIM24 BCAT1 FSCN1 ITGAV IFI44 MAST4 SLC18A2 APP KRT18 MBIP STK32B PPP1R16B RPP40 HLF NPM1 RPL13A BCKDHB PYCR1 ADNP2 LUZP1 UBE2E1 MRPS2 BCR
MULLIGHAN_MLL_SIGNATURE_2_DN	2.65639379613616e-16	2.74415122740594e-13	1.03769615548758	0.628420734801933	2.35526669182804	243	EGR3 TRH GGT5 CXCL8 MDK CD34 TNFRSF4 HPGD CXCL2 BAALC CD200 NBL1 HPGDS SPRY1 TBXA2R RBPMS TIE1 YES1 ITM2A MPL PTP4A3 NPR3 B4GALT6 IFITM1 EGFL7 PTPRCAP CAVIN1 LYRM1 PTPN14 PIGP CYTL1 MN1 PMAIP1 ATP1B1 RHOH DUSP14 SEPTIN11 NIT2 STAP1 KDM5B ATP2A3 CKB TTC3 CCNG1 DEPTOR HINT1 KATNB1 PEX3 MCTP2 LOXL1 TFPI CD99 TM4SF1 LRRC8B HGF IER2 TGFBRAP1 PRKCQ WASF1 MAPRE2 DBN1 AREG STAT5A SLC17A9 ELMO1 TRIM24 BCAT1 FSCN1 TEX10 ITGAV SINHCAF IFI44 MAST4 SLC18A2 APP GLS LEPROTL1 HMGN4 MACF1 STK32B PPP1R16B NONO RPP40 NPM1 CERS4 PYCR1 LUZP1 VAV3 UBE2E1 MRPS2
VALK_AML_CLUSTER_8	1.98483954147835e-15	1.68636929542854e-12	1.00731795687447	-0.958185215011362	-2.27047113984906	25	GYPA SELENBP1 SLC6A8 GYPB RHCE CDH1 ANK1 FECH FAXDC2 SNCA OSBP2 ABCG2 TNS1 TSPAN5 TRAK2 TMEM158 OPTN MXI1 MOSPD1 TAL1 BCAM ARHGEF12 CDC42BPA
VALK_AML_CLUSTER_7	4.92945631501328e-14	3.7228349525717e-11	0.965327754226083	-0.950281609030047	-2.25174312255118	25	PDZK1IP1 SELENBP1 TRIM10 SLC6A8 SPTB HBZ RHCE RHAG ANK1 GYPE FAXDC2 OSBP2 KEL TNS1 SLC6A9 KCNH2 SLC2A1 TAL1 DNAJC6 EPB41 CLCN3 RAP1GAP TPM1
PILON_KLF1_TARGETS_UP	1.40424942099474e-10	9.54468331450125e-08	0.826657301178302	-0.555675898489775	-1.88448339662808	366	CTSE GYPA ALAS2 ATP1B2 TRIM10 EPB42 TLCD4 CA1 SLC6A8 SLC22A23 CTTN PLEK2 BPGM ANKH SPTA1 DNAJA4 FECH ITSN1 SNCA ABCG2 YPEL4 CPEB4 KEL PKDCC MKRN1 MSR1 TTC39A TMEM158 MBOAT2 XK TENT5C MFSD2B ANK3 ABCC3 TANGO2 ELL2 ASAP1 GASK1B SGMS1 CLCN3 DNAJB2 GCLM REPS2 FZD5 UBE2O FOXO3 TADA2B C1S KPNA1 COL18A1 AGRN EIF2AK1 FBXO9 FAM114A1 CHAC2 PICALM LPIN2 ASXL2 NBR1 ASCC2 DMPK BMP2K IGF1R PCSK7 MED13 ETNK1 ATP5IF1 INSR CD59 ENOX2 DNAJB4 RBMS1 XPR1 FRYL DAAM1 C2CD3 SPATS2L PPOX TOP2A CXADR ZFAND5 TRIP4 RESF1 MDM2 SREK1IP1 RAB6A ASB1 LHFPL6 PLXNA2
