gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold,celltype
OVCH1-AS1,4.56116214783049,-0.0230602613105893,0.0635132807669632,6.2424071014128e-09,6.9865020279012e-05,FALSE,CD8 Effector
SLC12A7,7.98262040535979,4.08816385598685,0.930392132413824,4.50820860031466e-08,0.000252279353273609,TRUE,CD8 Effector
CD7,527.716235157973,-0.845972266458494,0.20006249704575,8.39236301407012e-07,0.00313091089511576,TRUE,CD8 Effector
PLAC8,147.84756483317,-0.725555693706976,0.177103804325305,1.35885505386115e-06,0.00343085645829031,TRUE,CD8 Effector
LGALS9B,3.18207046604738,-0.0158890345333088,0.0595487458460985,1.53272715256e-06,0.00343085645829031,FALSE,CD8 Effector
LDB2,6.83991361303874,-0.00943878875359048,0.0573666161305248,7.36993430073685e-06,0.0132594130789932,FALSE,CD8 Effector
S100B,29.0299391319938,-0.00790341126408014,0.0570243851805433,8.29305678636101e-06,0.0132594130789932,FALSE,CD8 Effector
BRD7,111.317659698294,0.491603690309423,0.135485522543003,1.32834255574719e-05,0.0185835123549032,TRUE,CD8 Effector
FAAH2,5.46134391398093,-0.00949874586960758,0.0573658433651121,1.95076423518108e-05,0.0242588370223852,FALSE,CD8 Effector
GPR183,15.4798886252848,-0.0280864068446284,0.0670173433779388,2.50966293829001e-05,0.0280881476053418,FALSE,CD8 Effector
HLA-DRB5,173.197407242127,0.919690237500626,0.278515496475882,2.90062306219465e-05,0.0295125211928023,TRUE,CD8 Effector
KLRB1,343.392793967471,-0.749295075099516,0.225738383303913,3.26724391847367e-05,0.0304724949462978,TRUE,CD8 Effector
LTB,173.456233725394,-0.883015403822407,0.292437171016268,6.54076629268867e-05,0.0488460147814643,TRUE,CD8 Effector
SYNE1,267.480230921093,0.507600036641114,0.163045794724842,7.60126275660685e-05,0.0488460147814643,TRUE,CD8 Effector
TRBV14,16.0516062203045,-0.0224472297669612,0.0629316613648725,7.96599501410535e-05,0.0488460147814643,FALSE,CD8 Effector
TRBV24-1,7.93177818842703,-0.0240249141917111,0.0639498703969274,7.2650664677501e-05,0.0488460147814643,FALSE,CD8 Effector
TSC22D3,427.363234261235,-0.423296938446041,0.134715825126382,6.83301342168538e-05,0.0488460147814643,TRUE,CD8 Effector
WAC-AS1,35.1918220373549,-0.742306248796534,0.245956883864369,7.5036643097403e-05,0.0488460147814643,TRUE,CD8 Effector
MYADM,59.1726299426029,-0.667015636514982,0.219949845158193,8.29230057941227e-05,0.0488460147814643,TRUE,CD8 Effector
CXCR4,202.374133882727,-0.603815978366094,0.202166744153827,0.000100616886718079,0.0540186014934779,TRUE,CD8 Effector
PRMT2,203.821953994188,-0.509547530995421,0.169977686657979,0.000101357275854453,0.0540186014934779,TRUE,CD8 Effector
SRGN,693.903702017592,-0.312311552329059,0.104439849524034,0.000132015528562415,0.067159899803207,TRUE,CD8 Effector
ZSCAN18,2.6196690000983,-0.0136969092978046,0.0586275180979127,0.000151443007235827,0.0736934842166687,FALSE,CD8 Effector
CXXC5,33.0674150229577,-0.0232874009750041,0.0633821295820861,0.000162795815183984,0.0759171151474647,FALSE,CD8 Effector
IFNGR1,36.7526045183198,-0.685214640538965,0.252735369743594,0.000185693649039253,0.083131332801893,TRUE,CD8 Effector
BTG1,854.531722660625,-0.418762097782563,0.149003994763083,0.000196478736015728,0.0845765389803086,TRUE,CD8 Effector
ADAMTS17,6.68938378522374,-1.8106912861184,0.771445188445442,0.00022624114085317,0.0937811425343956,TRUE,CD8 Effector
PGLS,111.897587309672,-0.40604451068603,0.149101529653,0.000244858951370969,0.097873620847996,TRUE,CD8 Effector
CD6,158.734779020703,0.629038845269875,0.236843248992957,0.000288130157551334,0.111198369769467,TRUE,CD8 Effector
IFITM2,931.179878155185,-0.41528893628087,0.160993649697463,0.000345874092527766,0.125102865554125,TRUE,CD8 Effector
KLRG1,322.984115340185,-0.473905152296467,0.184610053818887,0.000365376260671329,0.125102865554125,TRUE,CD8 Effector
PTGDR,101.500844882926,-0.508956134352146,0.199728962327951,0.000351747419281807,0.125102865554125,TRUE,CD8 Effector
KIR2DL4,3.87694623866554,-0.0095009828734049,0.057353060457182,0.000368870136104906,0.125102865554125,FALSE,CD8 Effector
CDC14A,42.842468304564,-0.638051376503116,0.259166391994826,0.000388657904356979,0.125236457414675,TRUE,CD8 Effector
RPL15,1736.77222540462,-0.206282673393789,0.0768022576530929,0.000423266663246471,0.125236457414675,FALSE,CD8 Effector
EMB,152.212555530556,-0.41963984638516,0.166980112675066,0.000435118392678163,0.125236457414675,TRUE,CD8 Effector
ERAP2,44.8998665946638,-0.82079757685019,0.330315019085532,0.000404938349724202,0.125236457414675,TRUE,CD8 Effector
PPP1R9A,2.4929703783221,-0.0065781010857712,0.0567546935886263,0.000436402952034695,0.125236457414675,FALSE,CD8 Effector
AC068587.4,18.9530734594135,-0.980240300324878,0.414877367536787,0.00042871594231315,0.125236457414675,TRUE,CD8 Effector
TRBV10-1,3.27728673200224,3.9015665689061,1.67440635186615,0.000492752269129165,0.131306747526038,TRUE,CD8 Effector
RPS5,1552.91634699015,-0.318686301852027,0.123857242498414,0.000481790138339076,0.131306747526038,TRUE,CD8 Effector
MT-CO3,3390.31514700555,-0.529064236706084,0.21310445473075,0.000469409587442207,0.131306747526038,TRUE,CD8 Effector
RPL28,5090.17521387917,-0.296177463879961,0.119608697899189,0.000541935678276114,0.141054514215495,TRUE,CD8 Effector
SEPTIN9,258.321775789353,0.300137572586679,0.123118233892434,0.000624494968304604,0.158848811028753,TRUE,CD8 Effector
RPS4X,3172.6900521193,-0.349082542841047,0.147703444504838,0.000667276482288556,0.1659590753283,TRUE,CD8 Effector
