ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	celltype
REACTOME_CREB1_PHOSPHORYLATION_THROUGH_NMDA_RECEPTOR_MEDIATED_ACTIVATION_OF_RAS_SIGNALING	25	0.999802467766544	2.02060723696002	5.43688642410062e-05	0.0636659400262182	0.0636659400262182	2	tags=4%, list=0%, signal=4%	CD4 Memory
REACTOME_RAS_ACTIVATION_UPON_CA2_INFLUX_THROUGH_NMDA_RECEPTOR	17	0.999902798175195	1.92145429540152	0.000341372697896002	0.199873714618109	0.199873714618109	2	tags=6%, list=0%, signal=6%	CD4 Memory
REACTOME_SIGNALING_BY_GPCR	440	-0.999369468666831	-1.3342502682045	0.000901399290949428	0.351846189900593	0.351846189900593	7	tags=1%, list=0%, signal=1%	CD4 Memory
REACTOME_ASSEMBLY_AND_CELL_SURFACE_PRESENTATION_OF_NMDA_RECEPTORS	35	0.999888916816609	2.03064085085498	0.00345267328894892	0.504504755830388	0.504504755830388	2	tags=3%, list=0%, signal=3%	CD4 Memory
REACTOME_LONG_TERM_POTENTIATION	18	0.99991304297131	1.93659497363471	0.00213950502448425	0.504504755830388	0.504504755830388	2	tags=6%, list=0%, signal=6%	CD4 Memory
REACTOME_NEGATIVE_REGULATION_OF_NMDA_RECEPTOR_MEDIATED_NEURONAL_TRANSMISSION	18	0.999911642621501	1.93659226148846	0.00229369955376407	0.504504755830388	0.504504755830388	2	tags=6%, list=0%, signal=6%	CD4 Memory
REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY	25	-0.999580068742645	-1.92306062159673	0.00387749171859393	0.504504755830388	0.504504755830388	7	tags=8%, list=0%, signal=8%	CD4 Memory
REACTOME_DAP12_SIGNALING	28	-0.999355916202658	-1.90788617987001	0.00361625709731749	0.504504755830388	0.504504755830388	7	tags=7%, list=0%, signal=7%	CD4 Memory
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	193	-0.999640124117545	-1.6125953508427	0.00333069919115103	0.504504755830388	0.504504755830388	5	tags=2%, list=0%, signal=2%	CD4 Memory
REACTOME_RNA_POLYMERASE_III_TRANSCRIPTION	40	0.999525838060345	2.0260343095964	0.00530735583925822	0.545577653820568	0.545577653820568	6	tags=2%, list=0%, signal=3%	CD4 Memory
REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_CYTOCHROME_C_RELEASE	19	-0.999273799823104	-1.8724775747166	0.00545894658181445	0.545577653820568	0.545577653820568	12	tags=11%, list=0%, signal=11%	CD4 Memory
REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	14	-0.999762426952418	-1.8370534644071	0.00559088970610317	0.545577653820568	0.545577653820568	5	tags=14%, list=0%, signal=14%	CD4 Memory
REACTOME_UNBLOCKING_OF_NMDA_RECEPTORS_GLUTAMATE_BINDING_AND_ACTIVATION	16	0.999913483776686	1.91179180603445	0.00655591228929334	0.577386213900523	0.577386213900523	2	tags=6%, list=0%, signal=6%	CD4 Memory
REACTOME_RRNA_PROCESSING_IN_THE_MITOCHONDRION	10	0.959641466944901	1.7250282741986	0.00690299487156902	0.577386213900523	0.577386213900523	16	tags=10%, list=0%, signal=10%	CD4 Memory
REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS	16	-0.999847028567049	-1.85536739598356	0.00781657028032335	0.606515699385107	0.606515699385107	4	tags=12%, list=0%, signal=13%	CD4 Memory
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES	16	-0.999328823221735	-1.85440578758283	0.00925076624355098	0.606515699385107	0.606515699385107	13	tags=19%, list=0%, signal=19%	CD4 Memory
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	14	-0.998974960401533	-1.83560650249254	0.00966240865677558	0.606515699385107	0.606515699385107	17	tags=14%, list=0%, signal=14%	CD4 Memory
REACTOME_TICAM1_TRAF6_DEPENDENT_INDUCTION_OF_TAK1_COMPLEX	11	-0.944579252868057	-1.67253942348012	0.00954502520954863	0.606515699385107	0.606515699385107	137	tags=18%, list=1%, signal=18%	CD4 Memory
