gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,threshold,celltype
OVCH1-AS1,3.51615774448655,-0.0222084399901765,0.0599843564815203,3.49699879011408e-09,4.02959170584846e-05,FALSE,CD8 Effector
SLC12A7,7.03416703458556,4.57729048364761,1.05405108188132,2.29696085155784e-08,0.000132339399462505,TRUE,CD8 Effector
LGALS9B,2.9702965725074,-0.0134667214197839,0.0552772055553279,3.30732948067989e-06,0.0095275894014686,FALSE,CD8 Effector
CD7,493.655481101951,-0.858533439803494,0.219744488929896,3.25504319301762e-06,0.0095275894014686,TRUE,CD8 Effector
FCGR3A,158.399310687035,-1.19350011277752,0.320679803122996,5.99068146655224e-06,0.0121298877752347,TRUE,CD8 Effector
PLAC8,128.375775412509,-0.810369742308661,0.21508444074325,6.31600508994255e-06,0.0121298877752347,TRUE,CD8 Effector
S100B,26.3701569294338,-0.00681940302603217,0.053381564762223,1.10718832546554e-05,0.0182259015347706,FALSE,CD8 Effector
BRD7,101.532789923724,0.51138862924853,0.142773945632232,1.52968134760578e-05,0.0220331477105768,TRUE,CD8 Effector
KLRB1,319.133448320894,-0.801282287388804,0.230462149043681,1.80852846465237e-05,0.0231551927757659,TRUE,CD8 Effector
LAT2,10.2913054876088,-0.0165578155211987,0.05658611533622,2.08207502884869e-05,0.0239917505574234,FALSE,CD8 Effector
CXXC5,30.7731635174441,-1.67959644352323,0.548312379114218,3.23636924239631e-05,0.0339024388910298,TRUE,CD8 Effector
HLA-DRB5,161.66774156382,0.945931403595954,0.295406010602643,3.85938653568518e-05,0.0342090085005387,TRUE,CD8 Effector
FAAH2,5.36606880559037,-0.00765852403381734,0.0535318709394176,3.79764751638452e-05,0.0342090085005387,FALSE,CD8 Effector
IFITM2,829.057037239763,-0.53957933376489,0.165520354693831,4.4176369776858e-05,0.0363603077813382,TRUE,CD8 Effector
TRBV24-1,7.93738658673054,-0.0210716644979882,0.0590546519793616,5.41960506157455e-05,0.0416334060830157,FALSE,CD8 Effector
