pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_MYC_TARGETS_V1	1.64108243187824e-13	8.20541215939119e-12	0.943632225232838	-0.773469898726431	-2.34945585467525	199	MCM7 TYMS G3BP1 MCM4 VDAC1 SNRPD1 H2AZ1 NAP1L1 C1QBP IMPDH2 POLD2 RPS10 SSBP1 SNRPA CANX RPS6 PPIA FBL RPS2 SRSF2 TUFM DUT PABPC4 NPM1 TFDP1 PA2G4 RPLP0 TXNL4A RPL34 EEF1B2 MCM6 PPM1G CTPS1 RPL14 PCNA SERBP1 RRM1 HPRT1 HSPD1 RACK1 NOP16 USP1 PSMB3 HSPE1 DEK RPL6 CCT7 HNRNPA1 CDC45 SRSF1 YWHAE EIF3B NOLC1 NHP2 RPL18 RPS3 RANBP1 XPO1 RAN CDK4 RPL22 HNRNPU SRM MAD2L1 EXOSC7 SRPK1 HNRNPA2B1 DDX21 MYC CYC1 CCT2 SNRPG GOT2 SRSF7 TRIM28 PABPC1 CCT4 RUVBL2 SRSF3 UBA2 XRCC6 COX5A SMARCC1 RFC4 NME1 ETF1 RPS5 NDUFAB1 FAM120A CBX3 MCM5 TCP1 CAD MCM2 XPOT SNRPD2 PRPS2 CDK2 CDC20 PHB2 CCT5 CUL1 PCBP1 APEX1 SF3A1 EIF4E SSB EIF3D HDAC2 EIF4H SYNCRIP PSMD1 RSL1D1 KPNA2 KPNB1 HDDC2 HNRNPA3 SLC25A3 BUB3 ODC1 KARS1 SET POLE3 CCNA2 CNBP
HALLMARK_E2F_TARGETS	6.12550748495072e-07	1.53137687123768e-05	0.659444398037935	-0.686018671737607	-2.0832413436262	200	AURKB CENPM MCM7 HELLS EZH2 RRM2 NAA38 ATAD2 DIAPH3 MCM4 LIG1 LMNB1 RFC2 H2AZ1 TP53 NAP1L1 RPA3 CSE1L PRKDC POLD2 RNASEH2A TMPO SRSF2 DUT HMGB2 UNG SSRP1 HMGB3 LYAR PA2G4 TUBB NASP DNMT1 STMN1 MCM6 TIMELESS CTPS1 PCNA SMC1A CKS2 PAICS USP1 POP7 ANP32E DEK NCAPD2 SRSF1 NOLC1 MYBL2 RANBP1 XPO1 RAN BRCA1 CDK4 PTTG1 MAD2L1 BIRC5 PRIM2 MYC STAG1 WEE1 IPO7 RBBP7 ILF3 DSCC1 SPAG5 RACGAP1 XRCC6 PDS5B ING3 SMC4 CDK1 NME1 ORC6 CIT MCM5 CKS1B RFC3 MCM2 CTCF TFRC PHF5A MMS22L PNN CDC20 SPC25 CCP110 MELK PRPS1 ASF1B NUP205 HMMR SYNCRIP KPNA2 KIF4A PSIP1 DCTPP1 H2AX TCF19 CDCA8 BRCA2 PSMC3IP UBE2S GINS3 SPC24 CENPE SNRPB RAD51AP1 CDCA3 KIF2C TK1 MSH2 CCNB2 TACC3
HALLMARK_TNFA_SIGNALING_VIA_NFKB	7.70973367951246e-06	0.000128495561325208	0.593325476396405	0.785291855037953	1.9035355421292	152	CDKN1A RHOB ICAM1 JAG1 SLC2A3 SOCS3 EFNA1 GADD45B TNFAIP2 CXCL2 JUNB ZFP36 SAT1 IER2 ETS2 CD69 SQSTM1 BTG1 RELA CD44 CFLAR LITAF NFKBIA ZBTB10 BCL3 REL EIF1 BCL2A1 TSC22D1 IRF1 PLAUR CCNL1 RIPK2 ID2 KLF10 KDM6B GADD45A BTG2 IFNGR2 NFAT5
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.000163737992747811	0.00204672490934764	0.518848077743792	-0.594241078610167	-1.8061345307338	196	UQCRQ NDUFS6 VDAC1 NDUFA2 ATP5MC1 GPI NDUFB2 ATP5MF ATP5PD HSPA9 TIMM13 SLC25A5 ATP5ME COX6C MDH2 MRPS15 IDH2 CYCS ATP5F1A COX7C NDUFB1 ETFB COX5B NDUFB6 NDUFA4 CYC1 POLR2F NDUFA1 GOT2 COX6B1 GRPEL1 ATP5F1D NDUFS8 COX5A NDUFV1 FH CS SLC25A6 AFG3L2 NDUFAB1 ATP5MC2 RHOT1 LRPPRC UQCRH ATP5MC3 NDUFA3 ECHS1 COX4I1 COX7A2 PHB2 MRPL11 IMMT ATP5PF ACAT1 COX10 UQCRC1 ACADVL ATP6V1F NDUFB3 HSD17B10 NDUFB7 PDHA1 COX7B UQCR11 SLC25A3 MPC1 GPX4 TOMM22 NDUFS7 OAT NDUFS1 SLC25A11 NDUFA6 OPA1 TOMM70 UQCRB ACO2 MRPS12 ACAA1 COX8A TIMM9 SURF1 OGDH SDHB
HALLMARK_G2M_CHECKPOINT	0.000259827606022315	0.00235290849042956	0.49849310876659	-0.612871905631709	-1.86091402560405	193	AURKB E2F1 CENPF EZH2 H2AZ2 POLQ G3BP1 NSD2 LMNB1 SNRPD1 H2AZ1 RBL1 TMPO SRSF2 HMGB3 TFDP1 NASP STMN1 MCM6 SMC1A CKS2 E2F3 DTYMK CDC45 SRSF1 NOLC1 MYBL2 XPO1 CDK4 PTTG1 HNRNPU MAD2L1 NCL BIRC5 PRIM2 KNL1 WRN MYC CDC6 STAG1 UCK2 SLC7A1 ILF3 NUP98 GINS2 RACGAP1 CHAF1A SMARCC1 PDS5B HMGN2 SMC4 CDK1 ORC6 MCM5 CKS1B FANCC NDC80 MCM2 NOTCH2 CTCF CDC20 CUL1 KIF15 KIF11 SRSF10 STIL HMMR ORC5 SYNCRIP SMC2 KPNA2 KPNB1 KIF4A CDC7 TROAP H2AX BUB3 ODC1 BRCA2 DBF4 UBE2S CCNA2 KIF20B CDC27 TTK BUB1 CENPE EXO1 KIF2C RAD54L CCNB2 TACC3 SFPQ RPS6KA5 DDX39A KIF23 HNRNPD TPX2 DKC1 KMT5A FBXO5 UBE2C HSPA8 ATF5
HALLMARK_MYC_TARGETS_V2	0.000282349018851547	0.00235290849042956	0.49849310876659	-0.779287209807549	-2.0249758241606	57	TCOF1 MYBBP1A MCM4 UNG NPM1 PA2G4 PPRC1 HSPD1 NOP16 NDUFAF4 HSPE1 RCL1 NOLC1 CDK4 SRM LAS1L MYC FARSA PUS1 MRTO4 SORD IMP4 CBX3 MCM5 TMEM97 RABEPK DCTPP1 PRMT3 WDR43 RRP12 SLC19A1 NOC4L PES1 UTP20
HALLMARK_IL2_STAT5_SIGNALING	0.000975502880611927	0.00696787771865662	0.477270815362862	0.716742644120633	1.7348041686359	148	TNFRSF4 CDKN1C RHOB IL18R1 SLC2A3 HOPX GADD45B CISH CCND3 IL3RA CD79B SLC1A5 SNX9 AHR ANXA4 CD44 GBP4 PRKCH PIM1
HALLMARK_COMPLEMENT	0.00148406455680845	0.00927540348005281	0.45505986738723	0.721612833003186	1.71174190484566	124	ME1 LGALS3 SPOCK2 FCER1G DUSP6 TIMP1 GCA IRF2 WAS CTSC GNAI2 CALM3 LYN ZEB1 CASP4 PIM1 LAMP2 APOBEC3G CTSB RHOG IRF1 PLAUR CASP3 LCP2 CTSS LAP3 PIK3R5 USP8 CASP1 TIMP2 CALM1 TNFAIP3 CCL5 PRKCD SERPING1 MSRB1 CD46 SH2B3 PPP4C
HALLMARK_TGF_BETA_SIGNALING	0.00334560053529609	0.0185866696405338	0.326351610990907	0.831995895240447	1.7472352734577	43	CDKN1C ID1 JUNB TGFB1 SPTBN1 HDAC1 ENG TGFBR1 UBE2D3 FKBP1A CTNNB1 PPP1CA ID2 KLF10 IFNGR2 BMPR2 RHOA ARID4B
HALLMARK_APICAL_JUNCTION	0.00641025641025641	0.0320512820512821	0.215782858966574	0.701281899654038	1.64654664780308	113	ICAM1 NEXN BAIAP2 CNN2 CD34 VCL MAP4K2 NECTIN2 MDK JUP FSCN1 VASP ZYX PTPRC ITGB1 FYB1 RHOF MSN GNAI2 EVL ARHGEF6 PBX2 CD99 MYH9 PTEN ACTG1 TSPAN4 GNAI1 CAP1
