pathway	pval	padj	log2err	ES	NES	size	leadingEdge
JAATINEN_HEMATOPOIETIC_STEM_CELL_UP	1.52253456193126e-16	1.04719927169632e-12	1.04762648849882	0.789851951437226	2.36268383715488	309	MPL FGD5 ITGA9 SPINK2 MEST DIPK1B CCDC171 FAM30A DNMT3B IGLL1 TMEM163 SCD F2R ISYNA1 KIT FAM216A LAPTM4B ANGPT1 DEPTOR EBPL TMEM38B GLIDR CYTL1 TRIP6 CBX2 FAIM ZBTB8A CCNB1IP1 BTBD3 PLAGL1 ABRAXAS1 ZNRF1 TAF1D TCAF1 GNA15 PKD2 SERPING1 MAP7 SYPL1 KDM5B TGFBRAP1 SAMD13 ZNF302 MEGF6 DPY19L4 RPS15A SETD9 MICU3 SLC27A2 SPART MBLAC2 MYB RCN1 SMARCA2 NRIP1 HADH KHDRBS3 RAVER2 CYYR1 HHEX COL5A1 CCDC6 TMEM44 NPR3 GNAI1 MAST4 PRXL2A AKR1C3 GATA2 DPY19L2 ABCC1 TFPI FABP5 ATP6V0A2 SMIM24 ZNF512B ZNF521 TXNRD3 HPGDS DPY19L3 MSH5 ITM2C PWWP3A ARMCX1 GUCY1A1 F2RL1 EOGT CALN1 ARHGAP22 CDCA7 RBPMS ZBED3 SLC9A7 GIHCG CFH C11orf54 TCEAL4 JADE3 ATP2C1 HLF TRIM24 MYO18A NKAIN2 HOXA10 BSPRY RHOBTB1 SSBP2
HUANG_AML_LSC47	8.27907865319138e-10	2.84717514883252e-06	0.801215574617779	0.916832703895052	2.16862762902995	47	TNFRSF4 NYNRIN GCSAML SPINK2 CPXM1 DIPK1B PRSS57 FAM30A GPSM1 DNMT3B LAPTM4B MMRN1 ANGPT1 INKA1
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_10D_DN	3.64989555206027e-09	8.36799386902352e-06	0.774939030136436	0.833649729404724	2.24166083124152	119	DEFA4 CD24 CXCL3 CXCL2 ANXA3 RGL4 ADGRG3
DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN	4.00934225544175e-08	4.59604267215472e-05	0.719512826338911	-0.526640175853662	-1.94657344982645	439	MAMLD1 PIP4K2A UGCG CDYL C2CD5 MARK3 LARP4 MED13 GAPVD1 PPP2R5C SEC14L1 PKN2 ATP13A3 WAPL HIRA CLOCK EPS15 MAP4K5 C2CD3 FRYL CEP350 CD2AP TRIM33 TP53BP2 USP9X PICALM NVL KIF20B UBR2 RNGTT TAF4 CDC27 MDN1 ORC2 ASCC3 NUP153 RAB6A HMGXB4 GOLGA4 TRAPPC8 MICAL3 WDR7 ZDHHC17 HELZ CENPA PCMT1 ZHX3 RAPGEF2 FARS2 USP24 RCOR1 STK24 TRIP12 ROCK2 BARD1 PPP2R2A PDS5A MARF1 CRADD PPP1R12A TOPBP1 LARP4B OPA1 SPEN PPFIA1 AFF1 ITSN1 SEC24A KDM5A MKLN1 SETD2 PRIM2 TMEM131 MECP2 CLEC16A TCF12 ZNF148 PHLPP2 SRGAP2 E2F2 UVRAG DHX15 NR3C1 XPO1 STAM BUB1B GMPS PTK2 MED13L STARD13 PTPRA CENPE MID1 CEP135 FOXO3 TRIM37 SUZ12 SOS1 STRN3 CTBP2 KIF14 RBM6 KIF23 TLK2 CENPF TUBGCP3 BAZ1A RB1 STAG1 SCAF8 CKAP5 FNBP1L TOP2A ATXN2 FOXN3 KIF11 EVI5 R3HDM2 ATAD2B CREBBP NPIPB5 TSPAN5 STIL DNAJC13 NFYC PPP3CB DYRK1A OSBPL8 USP12 BBX MAP2K1 PARG CLASP1 PHF21A WRN UBR5
REACTOME_M_PHASE	3.56540969125969e-08	4.59604267215472e-05	0.719512826338911	-0.544134894984771	-1.98891815332168	393	H2AJ H3C2 NCAPD2 NCAPG2 NUP50 PPP2R5C MCPH1 CEP192 WAPL MASTL TUBG2 KMT5A KNTC1 CHMP2A RANGAP1 VRK2 ANAPC15 RAB1B NIPBL NUP85 NDE1 HAUS8 PSMA2 TUBA4A CEP250 INCENP DYNC1LI1 CDC27 STAG2 TMPO PPP2R5B ANAPC11 NUP153 CEP152 SIRT2 PSMC6 MAPK1 LBR TUBGCP2 CENPA NCAPD3 CEP76 PSMC1 PSMD12 AHCTF1 CENPO LEMD3 PSMD9 PPP2R2A PDS5A PPP2R1B CHMP4A PSMD1 CHMP7 PCNT CHMP4B CDK5RAP2 H4C4 BIRC5 SMC1A VRK1 MAU2 PSMD2 XPO1 RAD21 BUB1B PSMC4 PSMF1 ANAPC7 HAUS3 LPIN2 NUP88 SPC24 CENPE TUBG1 CEP135 DYNC1LI2 DYNC1I2 UBA52 NUP62 SPAST H4C3 PSMC3 PPP2R5D H2AX KIF23 UBB CENPF KNL1 NUMA1 TUBGCP3 SGO1 NUP214 RB1 PSMD11 TUBGCP5 STAG1 CKAP5 CENPS NUP210 CENPP NSL1 KIF2C NUP37 PRKACA H3C7 CENPU NCAPG NEK2 CENPI PSMB3 DYNC1H1 NCAPH NUP160 DCTN2 NUP188 CCNB2 TUBA1B NDEL1 PLK4 H3C8 PSMB4 NCAPH2 UBE2S SMC4 H2AC20 POM121 PSMD6 CSNK2B H4C1 NUF2 CLASP1 AURKB ANAPC10 CDC20 SKA1 NUP155 H3C3 NUP43 CDK1 POM121C CHMP3 KIF20A H2BC9 PLK1 NEDD1 ANAPC5 ALMS1 KIF18A NUP107 CENPN CDCA8 PTTG1 MZT1 SKA2 PSMA1 PSMD4 TAOK1 TUBA1C DYNLL2 CSNK2A1 NDC80 CENPM CENPL HAUS6 VPS4A PPP2CB PSMA4 BUB1 FBXO5 SEC13 CLIP1 NEK7 ZWINT
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_16D_DN	2.79495614078332e-08	4.59604267215472e-05	0.73376198835648	0.834761165003494	2.20508521464226	107	DEFA4 CD24 PGLYRP1 ANXA3 RGL4 ITGA9 PLTP ADGRG3
MULLIGHAN_MLL_SIGNATURE_1_DN	1.02764497476907e-07	0.00010097345909231	0.704975715167238	0.718574672310303	2.06856325432378	210	CXCL2 MPL EGR3 NBL1 TIE1 YES1 TBXA2R EFHC2 ISYNA1 ITM2A DEPTOR PTP4A3 EGFL7 CYTL1 PRKCQ KATNB1 JUND SRSF5 SEPTIN11 RPL13A STAT5A MAPRE2 SIDT1 TGFBRAP1 ITGAV BTN3A3 PPP1R16B HS2ST1 ATP1B1 MBIP BCKDHB RPL31 NPR3 MAST4 FSCN1
JIANG_MELANOMA_TRM8_CD4	1.56875122411612e-07	0.000132210791830965	0.690132458796796	0.636137741881577	1.95326466830191	416	SCML4 SH2D2A TRBC2 RGL4 SPOCK2 EGR1 JUN ITM2A TRAPPC6A SNHG8 PTGER2 RPL10A RPL13 JUND H3-3B RPS18 RPS4X NOP53 RPL10 RPS6 RPL3 SPN PBXIP1 TPT1 RPS3A EEF1A1 CCDC85B RPL12 RPS3 RPL9 RPS2 RPL7A EEF1B2 RPS8 RPL28 RPS24 RPS14 RPL13A ODF2L RPL11 ICAM2 ZFAS1 RPL18 TAGLN2 EIF3E RPS13 NFKBIA RPS23 APRT LEPROTL1 IDS RPL5 RPL34 RPL19 SELENOW RPS15A RPS12 RPL18A DHRS7 TUBA1A HNRNPDL MYADM TMEM123 RPS19 HNRNPA0 PNRC1 RPL27A RPS25 LYSMD2 RPL30 HLA-B SOCS1 CSRNP1 SARAF RPL7 HNRNPA1 TAF7 RPL31 HLA-A RPS27A TC2N RPS7 HLA-E PDLIM2 SF1 LY6E RPL29 CITED2 HINT1 RPS5 DDX3X
SMID_BREAST_CANCER_LUMINAL_B_DN	1.73000454562181e-07	0.000132210791830965	0.690132458796796	0.653583449394622	1.99117106937104	368	CFI TNFRSF4 CXCL2 MFAP2 IGHM TRBC2 CD7 ANXA3 TIE1 CDKN1C PLTP ITGA6 KIT ITM2A ANGPT1 PTP4A3 CYTL1 PLAGL1 ICAM2 SERPING1 MAPRE2 CD37 BTN3A2
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	2.23714175066574e-07	0.000137552889254792	0.690132458796796	0.770608530324826	2.11883172902352	145	CCL4L2 TNFRSF4 CXCL3 CXCL2 MPL KIT
