celltype,cohort,id,freq
CD4 Memory,Remission cohort,P01.1Rem,0.086576648
CD4 Memory,Remission cohort,P01.1RemT,0.159836066
CD4 Memory,Remission cohort,P01.2Rem,0.051478642
CD4 Memory,Remission cohort,P02.1Rem,0.108710801
CD4 Memory,Remission cohort,P03.1Rem,0.202656676
CD4 Memory,Remission cohort,P03.1RemT,0.356401384
CD4 Memory,relapse cohort,P05.1Rem,0.043527545
CD4 Memory,relapse cohort,P06.1Rem,0.106017192
CD4 Memory,relapse cohort,P07.1Rem,0.094477998
CD4 Memory,relapse cohort,P07.1RemT,0.111475141
CD4 Memory,relapse cohort,P08.1Rem,0.055555556
CD4 Memory,relapse cohort,P08.1RemT,0.105780443
CD4 Naïve,Remission cohort,P01.1Rem,0.061159651
CD4 Naïve,Remission cohort,P01.1RemT,0.06557377
CD4 Naïve,Remission cohort,P01.2Rem,0.027382256
CD4 Naïve,Remission cohort,P02.1Rem,0.174216028
CD4 Naïve,Remission cohort,P03.1Rem,0.061307902
CD4 Naïve,Remission cohort,P03.1RemT,0.07266436
CD4 Naïve,relapse cohort,P05.1Rem,0.039673543
CD4 Naïve,relapse cohort,P06.1Rem,0.058739255
CD4 Naïve,relapse cohort,P07.1Rem,0.069240725
CD4 Naïve,relapse cohort,P07.1RemT,0.067655009
CD4 Naïve,relapse cohort,P08.1Rem,0.055555556
CD4 Naïve,relapse cohort,P08.1RemT,0.18557388
CD56 Bright NK cells,Remission cohort,P01.1Rem,0.204924543
CD56 Bright NK cells,Remission cohort,P01.1RemT,0.00234192
CD56 Bright NK cells,Remission cohort,P01.2Rem,0.334063527
CD56 Bright NK cells,Remission cohort,P02.1Rem,0.181881533
CD56 Bright NK cells,Remission cohort,P03.1Rem,0.053133515
CD56 Bright NK cells,Remission cohort,P03.1RemT,2.47E-04
CD56 Bright NK cells,relapse cohort,P05.1Rem,0.041260485
CD56 Bright NK cells,relapse cohort,P06.1Rem,0.127507163
CD56 Bright NK cells,relapse cohort,P07.1Rem,0.03515962
CD56 Bright NK cells,relapse cohort,P07.1RemT,0.001474322
CD56 Bright NK cells,relapse cohort,P08.1Rem,0.083333333
CD56 Bright NK cells,relapse cohort,P08.1RemT,1.67E-04
CD56 Dim NK cells,Remission cohort,P01.1Rem,0.357426529
CD56 Dim NK cells,Remission cohort,P01.1RemT,0.014637002
CD56 Dim NK cells,Remission cohort,P01.2Rem,0.291347207
CD56 Dim NK cells,Remission cohort,P02.1Rem,0.303484321
CD56 Dim NK cells,Remission cohort,P03.1Rem,0.298024523
CD56 Dim NK cells,Remission cohort,P03.1RemT,0.001482946
CD56 Dim NK cells,relapse cohort,P05.1Rem,0.136476989
CD56 Dim NK cells,relapse cohort,P06.1Rem,0.287965616
CD56 Dim NK cells,relapse cohort,P07.1Rem,0.106988783
CD56 Dim NK cells,relapse cohort,P07.1RemT,0.004013433
CD56 Dim NK cells,relapse cohort,P08.1Rem,0.3
CD56 Dim NK cells,relapse cohort,P08.1RemT,1.00E-03
CD8 Effector,Remission cohort,P01.1Rem,0.079428118
CD8 Effector,Remission cohort,P01.1RemT,0.177400468
CD8 Effector,Remission cohort,P01.2Rem,0.059145674
CD8 Effector,Remission cohort,P02.1Rem,0.058536585
CD8 Effector,Remission cohort,P03.1Rem,0.105585831
CD8 Effector,Remission cohort,P03.1RemT,0.17844785
CD8 Effector,relapse cohort,P05.1Rem,0.411924734
CD8 Effector,relapse cohort,P06.1Rem,0.041547278
CD8 Effector,relapse cohort,P07.1Rem,0.296807593
CD8 Effector,relapse cohort,P07.1RemT,0.357686952
CD8 Effector,relapse cohort,P08.1Rem,0.180555556
CD8 Effector,relapse cohort,P08.1RemT,0.214392804
CD8 Memory,Remission cohort,P01.1Rem,0.042891183
CD8 Memory,Remission cohort,P01.1RemT,0.087236534
CD8 Memory,Remission cohort,P01.2Rem,0.029572837
CD8 Memory,Remission cohort,P02.1Rem,0.043554007
CD8 Memory,Remission cohort,P03.1Rem,0.038147139
CD8 Memory,Remission cohort,P03.1RemT,0.040286703
CD8 Memory,relapse cohort,P05.1Rem,0.076399909
