Patient	Total variants	High coverage variants (max 1000)	Most concordant variants	Total cells	Unambiguous cells	Cells with most concordant variants
P01	146903	1000	36	31370	29333	25732
P02	267628	1000	36	37165	36763	34601
P03	83415	1000	0	11052	10257	0
P04	38221	1000	45	10041	9885	9687
P05	154976	1000	7	28571	27697	19557
P06	107622	1000	38	22466	22436	22077
P07	76460	1000	291	21117	20471	20433
P08	224598	1000	33	22675	22051	21087
P09	252279	1000	13	21814	21217	19673
P10	143179	1000	77	27739	25345	25138
P11	120203	1000	12	20647	20384	16681
P12	90612	1000	28	7165	7133	6809
P13	52829	1000	33	12773	12492	12189
P14	51088	1000	346	9440	9018	8988
P15	35919	1000	0	14079	12896	0
P16	11950	1000	0	6953	6054	0
P17	56055	1000	20	8555	8380	8120
P18	34242	1000	46	17072	16608	16288
P19	42864	1000	0	15653	14210	0
P20	16947	1000	0	8862	7366	0
P21	34341	1000	0	9962	9218	0
P22	39038	1000	0	10535	9714	0
P23	31664	1000	203	10463	10082	9804
P24	8667	1000	221	3999	3755	3533
P25	17126	1000	269	8792	8098	7647
P26	29644	1000	0	10936	9790	0
P27	21873	1000	1	8497	7527	527
P28	37662	1000	29	14235	13583	11972
P29	28559	1000	0	17534	14687	0
P30	29869	1000	68	11018	10663	10533
P31	71545	1000	84	11364	10626	10552
P32	129122	1000	0	11273	10649	0
P33	62660	1000	62	6915	6645	6606
